metagenome_group	bac_genus2	bac_family	bac_order	bac_phylum	occ_total
Ostropomycetidae ins. ced.	Granulicella_C	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	2
Ostropomycetidae ins. ced.	VCDI01	Acetobacteraceae	Acetobacterales	Proteobacteria	2
Ostropomycetidae ins. ced.	Acetobacteraceae gen. sp.	Acetobacteraceae	Acetobacterales	Proteobacteria	1
Ostropomycetidae ins. ced.	CAHJWH01	Caulobacteraceae	Caulobacterales	Proteobacteria	1
Ostropomycetidae ins. ced.	Cutibacterium	Propionibacteriaceae	Propionibacteriales	Actinobacteriota	1
Ostropomycetidae ins. ced.	KBS-83	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	1
Ostropomycetidae ins. ced.	LMUY01	Acetobacteraceae	Acetobacterales	Proteobacteria	1
Ostropomycetidae ins. ced.	RH-AL1	Beijerinckiaceae	Rhizobiales	Proteobacteria	1
Peltigerales_cyano	Nostoc	Nostocaceae	Cyanobacteriales	Cyanobacteria	19
Peltigerales_cyano	CAHJXG01	Acetobacteraceae	Acetobacterales	Proteobacteria	12
Peltigerales_cyano	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Proteobacteria	10
Peltigerales_cyano	Methylobacterium	Beijerinckiaceae	Rhizobiales	Proteobacteria	8
Peltigerales_cyano	Amnibacterium	Microbacteriaceae	Actinomycetales	Actinobacteriota	7
Peltigerales_cyano	Enterovirga	Beijerinckiaceae	Rhizobiales	Proteobacteria	7
Peltigerales_cyano	Aestuariivirga	Aestuariivirgaceae	Rhizobiales	Proteobacteria	5
Peltigerales_cyano	Lichenihabitans	Beijerinckiaceae	Rhizobiales	Proteobacteria	5
Peltigerales_cyano	UBA10450 gen. sp.	UBA10450	Chthoniobacterales	Verrucomicrobiota	5
Peltigerales_cyano	Friedmanniella	Propionibacteriaceae	Propionibacteriales	Actinobacteriota	4
Peltigerales_trebouxioid_cyano	Lichenihabitans	Beijerinckiaceae	Rhizobiales	Proteobacteria	12
Peltigerales_trebouxioid_cyano	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Proteobacteria	7
Peltigerales_trebouxioid_cyano	CAHJXG01	Acetobacteraceae	Acetobacterales	Proteobacteria	6
Peltigerales_trebouxioid_cyano	CAHJWO01	UBA10450	Chthoniobacterales	Verrucomicrobiota	5
Peltigerales_trebouxioid_cyano	Methylobacterium	Beijerinckiaceae	Rhizobiales	Proteobacteria	5
Peltigerales_trebouxioid_cyano	Enterovirga	Beijerinckiaceae	Rhizobiales	Proteobacteria	4
Peltigerales_trebouxioid_cyano	RH-AL1	Beijerinckiaceae	Rhizobiales	Proteobacteria	4
Peltigerales_trebouxioid_cyano	Terriglobus	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	4
Peltigerales_trebouxioid_cyano	CAHJWL01	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3
Peltigerales_trebouxioid_cyano	CAHJXF01	Burkholderiaceae	Burkholderiales	Proteobacteria	3
Peltigerales_Unknown	Nostoc	Nostocaceae	Cyanobacteriales	Cyanobacteria	1
Peltigerales_Unknown	Pseudonocardia	Pseudonocardiaceae	Mycobacteriales	Actinobacteriota	1
Peltigerales_Unknown	Terriglobus	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	1
Pertusariales	EB88	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	6
Pertusariales	Lichenihabitans	Beijerinckiaceae	Rhizobiales	Proteobacteria	3
Pertusariales	BOG-908	Acetobacteraceae	Acetobacterales	Proteobacteria	1
Pertusariales	CAHJXF01	Burkholderiaceae	Burkholderiales	Proteobacteria	1
Pertusariales	CAHJXG01	Acetobacteraceae	Acetobacterales	Proteobacteria	1
Pertusariales	KBS-83	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	1
Pertusariales	Sphingomonas_N	Sphingomonadaceae	Sphingomonadales	Proteobacteria	1
Rhizocarpales	Lichenihabitans	Beijerinckiaceae	Rhizobiales	Proteobacteria	5
Rhizocarpales	CAHJXG01	Acetobacteraceae	Acetobacterales	Proteobacteria	4
Rhizocarpales	LMUY01	Acetobacteraceae	Acetobacterales	Proteobacteria	3
Rhizocarpales	Tous-C9LFEB	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	2
Rhizocarpales	BOG-908	Acetobacteraceae	Acetobacterales	Proteobacteria	1
Rhizocarpales	Bryobacteraceae gen. sp.	Bryobacteraceae	Bryobacterales	Acidobacteriota	1
Rhizocarpales	CAHJWL01	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	1
Rhizocarpales	CAIMSN01	Acetobacteraceae	Acetobacterales	Proteobacteria	1
Rhizocarpales	Capsulimonadaceae gen. sp.	Capsulimonadaceae	Armatimonadales	Armatimonadota	1
Rhizocarpales	EB88	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	1
Schaereriales	CAHJXG01	Acetobacteraceae	Acetobacterales	Proteobacteria	3
Schaereriales	Enterovirga	Beijerinckiaceae	Rhizobiales	Proteobacteria	2
Schaereriales	Hymenobacter	Hymenobacteraceae	Cytophagales	Bacteroidota	2
Schaereriales	Sphingomonas	Sphingomonadaceae	Sphingomonadales	Proteobacteria	2
Schaereriales	Tous-C9LFEB	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	2
Schaereriales	CADCVW01	Sphingomonadaceae	Sphingomonadales	Proteobacteria	1
Schaereriales	JACMOY01	Angustibacteraceae	Actinomycetales	Actinobacteriota	1
Schaereriales	Lichenihabitans	Beijerinckiaceae	Rhizobiales	Proteobacteria	1
Schaereriales	LMUY01	Acetobacteraceae	Acetobacterales	Proteobacteria	1
Schaereriales	Methylobacterium	Beijerinckiaceae	Rhizobiales	Proteobacteria	1
Teloschistales	Lichenihabitans	Beijerinckiaceae	Rhizobiales	Proteobacteria	4
Teloschistales	PMMR1	Caulobacteraceae	Caulobacterales	Proteobacteria	2
Teloschistales	SCSIO-52909	Rubrobacteraceae	Rubrobacterales	Actinobacteriota	2
Teloschistales	Truepera	Trueperaceae	Deinococcales	Deinococcota	2
Teloschistales	Abditibacterium	Abditibacteriaceae	Abditibacteriales	Armatimonadota	1
Teloschistales	Acetobacteraceae gen. sp.	Acetobacteraceae	Acetobacterales	Proteobacteria	1
Teloschistales	Aureimonas_A	Rhizobiaceae	Rhizobiales	Proteobacteria	1
Teloschistales	Baltobacteraceae gen. sp.	Baltobacteraceae	Baltobacterales	Eremiobacterota	1
Teloschistales	CAHJWH01	Caulobacteraceae	Caulobacterales	Proteobacteria	1
Teloschistales	CAHJWL01	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	1
Umbilicariales	EB88	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	4
Umbilicariales	Acetobacteraceae gen. sp.	Acetobacteraceae	Acetobacterales	Proteobacteria	3
Umbilicariales	CAHJWL01	Acidobacteriaceae	Acidobacteriales	Acidobacteriota	3
Umbilicariales	CAHJXG01	Acetobacteraceae	Acetobacterales	Proteobacteria	3
Umbilicariales	Palsa-955	Chitinophagaceae	Chitinophagales	Bacteroidota	3
Umbilicariales	Bryobacteraceae gen. sp.	Bryobacteraceae	Bryobacterales	Acidobacteriota	2
Umbilicariales	Chthoniobacteraceae gen. sp.	Chthoniobacteraceae	Chthoniobacterales	Verrucomicrobiota	2
Umbilicariales	Rhizobacter	Burkholderiaceae	Burkholderiales	Proteobacteria	2
Umbilicariales	Abditibacterium	Abditibacteriaceae	Abditibacteriales	Armatimonadota	1
Umbilicariales	CAHJWH01	Caulobacteraceae	Caulobacterales	Proteobacteria	1
