label_genus	median_relative_cov	bac_family2	bac_order	bac_phylum
Trebonia	0.0448191438989475	Trebonia	Streptosporangiales	Actinobacteriota
Tremella	0.0200161893236444	NA	NA	NA
Truepera	0.0716385109536598	Truepera	Deinococcales	Deinococcota
UBA10450 gen. sp.	0.0350431135317868	Unknown	Chthoniobacterales	Verrucomicrobiota
UBA1315	0.0530878083188013	UBA1315	Verrucomicrobiales	Verrucomicrobiota
UBA1936	1.11456387983758	UBA1936	Sphingomonadales	Proteobacteria
UBA2316	0.0607352709675062	UBA2316	Bdellovibrionales	Bdellovibrionota
UBA2796 gen. sp.	0.793273433237875	Unknown	SBR1031	Chloroflexota
UBA4665 gen. sp.	0.150711762006291	Unknown	Saccharimonadales	Patescibacteria
UBA5704	0.629729682000852	UBA5704	UBA5704	Acidobacteriota
Unknown gen. sp.	0.187670325920343	Hat2 fam. gen. sp.	Hat2	Chlamydiota
Unknown gen. sp.	0.187670325920343	Actinomycetales fam. gen. sp.	Actinomycetales	Actinobacteriota
Unknown gen. sp.	0.187670325920343	Chthoniobacterales fam. gen. sp.	Chthoniobacterales	Verrucomicrobiota
Uzinura	0.885557843770711	Uzinura	Flavobacteriales	Bacteroidota
Variovorax	0.0829862541652547	Variovorax	Burkholderiales	Proteobacteria
VAYN01	0.0222752478474916	VAYN01	Solirubrobacterales	Actinobacteriota
VCDI01	0.070214866970474	VCDI01	Acetobacterales	Proteobacteria
WQZC01	0.100050940161106	WQZC01	Mycobacteriales	Actinobacteriota
