Genome	group	locustag	lichen_species	role_in_lichen	classification	NCBI_ID
public_SRR11456919_metabat2_bin.15	fungus	SRR11456919b15	Solorina crocea	mycobiont	Solorina crocea	48864 48863 48860 157824 388450 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR11456921_metabat2_merged.0	fungus	SRR11456921b0	Peltigera evansiana	mycobiont	Peltigera evansiana	161987 48861 48860 157824 388450 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR12240178_metabat2_bin.6	fungus	SRR12240178b6	Xanthoparmelia aff. plittii	mycobiont	Xanthoparmelia aff. plittii	2064934 111621 78060 157822 5197 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR12240181_metabat2_bin.5	fungus	SRR12240181b5	Rinodina	mycobiont	Rinodina	116826 50934 1302181 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR12240182_metabat2_bin.7	fungus	SRR12240182b7	Physciella chloantha	mycobiont	Physciella chloantha	144697 144696 50934 1302181 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR12240183_metabat2_bin.10	fungus	SRR12240183b10	Physcia biziana	mycobiont	Physcia biziana	116812 50935 50934 1302181 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR12240185_concoct_bin.1	fungus	SRR12240185b1	Mobergia calculiformis	mycobiont	Mobergia calculiformis	116798 116797 50934 1302181 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR13125477_concoct_bin.14	fungus	SRR13125477b14	Everniopsis trulla	mycobiont	Everniopsis trulla	235864 235863 78060 157822 5197 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR13126859_metabat2_bin.7	fungus	SRR13126859b7	Xanthoparmelia verrucella	mycobiont	Xanthoparmelia verrucella	1209592 111621 78060 157822 5197 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR13685159_concoct_merged.0	alga	SRR13685159b0	Icmadophila ericetorum	photobiont_chloro	Elliptochloris clade	2511161 75981 75966 2692248 3041 33090 2759 131567 
public_SRR14721933_metabat2_bin.1	fungus	SRR14721933b1	Bathelium carolinianum	mycobiont	Bathelium carolinianum	2840191 364651 271822 714581 159987 147541 715962 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR14721937_metabat2_bin.4	fungus	SRR14721937b4	Dermatocarpon luridum	mycobiont	Dermatocarpon luridum	172326 146293 146292 146291 451870 147545 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR14721942_metabat2_bin.2	fungus	SRR14721942b2	Bulbothrix scortella	mycobiont	Bulbothrix scortella	1777931 237027 78060 157822 5197 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR14721982_metabat2_bin.3	fungus	SRR14721982b3	fungal sp. Lendemer_49042_NY-3033146	mycobiont	Arthoniomycetes	147539 715962 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR14722032_metabat2_bin.2	fungus	SRR14722032b2	Platismatia tuckermanii	mycobiont_missassigned	Pertusariales	88639 388283 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR14722038_metabat2_bin.1	fungus	SRR14722038b1	Flavopunctelia flaventior	mycobiont	Flavopunctelia flaventior	172617 172616 78060 157822 5197 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR14722078_concoct_bin.17	fungus	SRR14722078b17	Lecanora oreinoides	mycobiont	Lecanora oreinoides	1181316 39934 39933 157822 5197 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR14722086_metabat2_bin.14	fungus	SRR14722086b14	fungal sp. Tripp_6058_COLO-L-0051364	mycobiont	Lichinales	291611 315355 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR14722109_metabat2_bin.1	fungus	SRR14722109b1	Pertusaria andersoniae	mycobiont	Pertusaria andersoniae	2321191 50932 50931 88639 388283 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR14722112_metabat2_bin.8	fungus	SRR14722112b8	Sticta sp. Lendemer_47364_NY-2795562	mycobiont	Sticta sp. Lendemer_47364_NY-2795562	2841861 2627720 137528 129109 157824 388450 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR14722116_metabat2_bin.14	fungus	SRR14722116b14	Usnea subscabrosa	mycobiont	Usnea subscabrosa	1181319 86620 78060 157822 5197 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR14722129_metabat2_bin.3	fungus	SRR14722129b3	Pseudevernia cladonia	mycobiont	Pseudevernia cladonia	88744 88743 78060 157822 5197 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR14722147_concoct_bin.2	fungus	SRR14722147b2	Byssoloma subdiscordans	mycobiont	Byssoloma subdiscordans	284119 196564 172841 157822 5197 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR14722160_concoct_bin.3	fungus	SRR14722160b3	Herteliana schuyleriana	mycobiont_missassigned	Lecanorales	5197 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR14722165_concoct_bin.24	fungus	SRR14722165b24	Rhizocarpon subgeminatum	fungi_other	Eurotiomycetes	147545 716546 147538 716545 4890 451864 4751 33154 2759 131567 
public_SRR14722176_metabat2_bin.14	fungus	SRR14722176b14	Xanthocarpia feracissima	mycobiont	Xanthocarpia feracissima	1301609 1301605 1301143 88646 1302176 107465 388435 1520881 147547 716546 147538 716545 4890 451864 4751 33154 2759 131567 
