	public_SRR14722229_metawrap_bin.6	public_SRR14722088_metawrap_bin.5	private_TS1974_metawrap_bin.5	public_SRR14722154_metawrap_bin.3	public_SRR14722157_metawrap_bin.1	private_T1916_metawrap_bin.2	private_VT16_metawrap_bin.4	public_SRR14722050_metawrap_bin.2	private_T1888_metawrap_bin.6	private_VT22_metawrap_bin.8	private_X16_metawrap_bin.17	private_X3_metawrap_bin.2	public_ERR4179390_metawrap_bin.2	public_SRR14722049_metawrap_bin.2	public_SRR14722081_metawrap_bin.1	public_SRR14722095_metawrap_bin.2	public_SRR2387885_metawrap_bin.6	private_X5_metawrap_bin.1	public_SRR11456921_metawrap_bin.3	public_SRR11456915_metawrap_bin.3	public_SRR14721954_metawrap_bin.4	public_SRR11456923_metawrap_bin.7	public_SRR14722145_metawrap_bin.2	public_SRR14722161_metawrap_bin.1	public_SRR11456913_metawrap_bin.11	public_SRR11456918_metawrap_bin.3	public_SRR11456919_metawrap_bin.5	public_SRR1531545_metawrap_bin.1	private_X15_metawrap_bin.2	private_VT1_metawrap_bin.3	private_VT1_metawrap_bin.1	public_SRR7232211_metawrap_bin.1	private_X11_metawrap_bin.3	private_T1894_metawrap_bin.4	public_SRR14721985_metawrap_bin.2	private_X9_metawrap_bin.1	private_T1887_metawrap_bin.15	private_T1889_metawrap_bin.2	private_TS1974_metawrap_bin.6	private_VT34_metawrap_bin.3	public_SRR11456914_metawrap_bin.12	public_SRR13125477_metawrap_bin.5	public_SRR14722071_metawrap_bin.1	private_T1904_metawrap_bin.1	private_X1_metawrap_bin.1	public_SRR14722123_metawrap_bin.1	private_T1894_metawrap_bin.9	private_T1916_metawrap_bin.6	private_VT26_metawrap_bin.1	private_T1916_metawrap_bin.13	private_TS1974_metawrap_bin.3	public_SRR11456919_metawrap_bin.13	public_SRR11456919_metawrap_bin.3	private_T1887_metawrap_bin.3	private_X3_metawrap_bin.3	private_VT34_metawrap_bin.4	public_ERR4179389_metawrap_bin.2	public_SRR11456918_metawrap_bin.7	public_SRR11456919_metawrap_bin.1	public_SRR14722117_metawrap_bin.2	private_VT1_metawrap_bin.2	public_SRR11456915_metawrap_bin.9	public_SRR11456919_metawrap_bin.2
M00855_1	0.666666666666667	0.333333333333333	1	0.666666666666667	0.666666666666667	0.666666666666667	1	1	1	0.666666666666667	0.333333333333333	0.666666666666667	0.666666666666667	0.333333333333333	0.666666666666667	0.333333333333333	0.333333333333333	0.666666666666667	0.666666666666667	0.333333333333333	0.333333333333333	0.333333333333333	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.333333333333333	0.333333333333333	1	1	1	1	1	1	0.666666666666667	1	0.666666666666667	0.666666666666667	1	1	1	1	1	0.666666666666667	1	1	1	1	1	0.666666666666667	1	1	1	0.666666666666667	0.666666666666667	0.333333333333333	0.666666666666667	0.333333333333333	0.666666666666667	0	0.666666666666667	0.666666666666667	0.666666666666667
M00565_1	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.5	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.666666666666667	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	0.833333333333333	1	1	1	1	0.833333333333333	0.833333333333333	1	0.833333333333333	1	1	1	1	0.666666666666667	1	0.833333333333333	0.833333333333333	0.833333333333333	0.666666666666667	0.833333333333333	1	0.5	1	1	1	1	0.666666666666667	0.666666666666667	0.833333333333333	1	0.833333333333333	0.666666666666667	0.833333333333333	0.833333333333333	0.833333333333333	1	0.5	1	1	0	0.5	0	0.5	1	0.666666666666667	1	1
M00549_1	0.333333333333333	0.333333333333333	0.666666666666667	0.666666666666667	0.333333333333333	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.333333333333333	0.666666666666667	0.666666666666667	0.666666666666667	0.333333333333333	0.666666666666667	0.333333333333333	0.666666666666667	0.666666666666667	0.666666666666667	0.333333333333333	0.333333333333333	0.333333333333333	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667	0.333333333333333	0.333333333333333	1	0.666666666666667	1	0.666666666666667	0.666666666666667	1	0.666666666666667	0.666666666666667	1	0.666666666666667	1	1	1	1	0.666666666666667	1	0.666666666666667	1	1	1	1	1	1	1	1	1	0.666666666666667	0.666666666666667	1	1	1	0.333333333333333	0.666666666666667	0.666666666666667	0.666666666666667
M00554_1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.5	1	1	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0.5	0.5
M00892_1	0.5	0.333333333333333	0.5	0.5	0.333333333333333	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.333333333333333	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.166666666666667	0.166666666666667	0.166666666666667	0.166666666666667	0.166666666666667	0.333333333333333	0.166666666666667	0.166666666666667	0.166666666666667	0.166666666666667	0.166666666666667	0.166666666666667	0.166666666666667	0.166666666666667	0.166666666666667	0.333333333333333	0.166666666666667	0.166666666666667	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.333333333333333	0.5	0.5	0.5	0.333333333333333	0.333333333333333	0.166666666666667	0.333333333333333
M00909_1	1	1	1	1	0.8	1	1	1	1	1	1	1	1	1	0.8	1	1	1	1	0.8	1	1	1	1	1	1	1	1	0.8	0.6	0.8	0.8	0.8	1	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	0.8	1	0.8	0.8	1	1	0.8	1	1	1	1	1	1	0.8	1	1	1	0.8	0.4	0.4	0.8
M00012_1	0.4	0.4	0.6	0.6	0.6	0.8	0.8	0.6	0.6	0.6	0.6	0.6	0.6	0.4	0.6	0.4	0.8	0.4	0.6	0.4	0.4	0.6	0.4	0.4	0.4	0.4	0.4	0.4	1	1	1	0.6	1	1	1	0.6	0.8	0.8	0.8	1	1	1	1	1	1	1	0.6	0.8	0.8	0.8	1	0.8	0.8	0.8	1	1	1	0.8	0.8	0.6	0.6	0.4	0.8
M00373_1	0	0	0	0	0	0	0	0	0.111111111111111	0	0	0	0	0	0	0.111111111111111	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333333333	0.333333333333333	0.222222222222222	0	0.333333333333333	0	0.111111111111111	0	0.222222222222222	0.111111111111111	0.444444444444444	0.222222222222222	0.333333333333333	0.444444444444444	0	0.111111111111111	0.333333333333333	0.222222222222222	0.333333333333333	0.222222222222222	0.222222222222222	0.222222222222222	0.222222222222222	0.222222222222222	0.222222222222222	0.222222222222222	0.222222222222222	0.222222222222222	0.222222222222222	0.222222222222222	0.333333333333333	0	0	0	0
M00373_2	0	0	0.333333333333333	0	0	0	0	0.333333333333333	0	0	0	0	0.333333333333333	0.333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.333333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0.666666666666667	1	0.666666666666667	1	1	1	0	1	1	1	0	0	0	0
M00740_1	0.272727272727273	0.363636363636364	0.272727272727273	0.363636363636364	0.363636363636364	0.363636363636364	0.363636363636364	0.454545454545455	0.454545454545455	0.363636363636364	0.454545454545455	0.363636363636364	0.363636363636364	0.272727272727273	0.363636363636364	0.363636363636364	0.454545454545455	0.272727272727273	0.363636363636364	0.272727272727273	0.272727272727273	0.272727272727273	0.181818181818182	0.272727272727273	0.272727272727273	0.181818181818182	0.272727272727273	0.272727272727273	0.363636363636364	0.363636363636364	0.363636363636364	0.363636363636364	0.363636363636364	0.363636363636364	0.363636363636364	0.363636363636364	0.272727272727273	0.363636363636364	0.363636363636364	0.363636363636364	0.272727272727273	0.363636363636364	0.363636363636364	0.363636363636364	0.272727272727273	0.363636363636364	0.181818181818182	0.363636363636364	0.363636363636364	0.272727272727273	0.363636363636364	0.363636363636364	0.363636363636364	0.272727272727273	0.363636363636364	0.363636363636364	0.363636363636364	0.272727272727273	0.272727272727273	0.363636363636364	0.363636363636364	0.272727272727273	0.363636363636364
