FEN	Field_Determination	Current_Determination	Collector	Collection_Number	Herbarium	Herbarium_Barcode	Basidiomycete Hit?									
FEN_204_Dimelaena_oreina	Dimelaena_oreina	Dimelaena oreina	Lendemer	46354	NY	2795296	No									
FEN_427_Ephebe_solida	Ephebe_solida	Ephebe solida	Tripp	6172	NY	2796978	No									
FEN_412_Fissurina_insidiosa	Fissurina_insidiosa	Fissurina insidiosa	Tripp	6135	NY	2796997	No									
FEN_322_Flakea_papillata	Flakea_papillata	Flakea papillata	Tripp	3955	NY	1887251	No									
FEN_499_Flakea_papillata	Flakea_papillata	Flakea papillata	Tripp	6575	NY	2796711	No									
FEN_260_Flavoparmelia_baltimorensis	Flavoparmelia_baltimorensis	Flavoparmelia baltimorensis	Tripp	6061	NY	2794302	No									
FEN_395_Flavoparmelia_baltimorensis	Flavoparmelia_baltimorensis	Flavoparmelia baltimorensis	Lendemer	48832	NY	3033356	No									
FEN_350_Flavopunctelia_flaventior	Flavopunctelia_flaventior	Flavopunctelia flaventior	Lendemer	48570	NY	3217070	No									
FEN_45_Fuscopannaria_leucosticta	Fuscopannaria_leucosticta	Fuscopannaria leucosticta	Lendemer	45947	NY	2606542	No									
FEN_323_Fuscopannaria_sorediata	Fuscopannaria_sorediata	Fuscopannaria sorediata	Tripp	4948	NY	2359963	No									
FEN_194_????_????	????_????	Gomphillaceae	Lendemer	46730	NY	2794914	No									
FEN_105_Gomphillus_americanus	Gomphillus_americanus	Gomphillus americanus	Lendemer	45954	NY	2606535	No									
FEN_193_Gomphillus_calycioides	Gomphillus_calycioides	Gomphillus calycioides	Lendemer	46470	NY	2795175	No									
FEN_403_Gyalecta_farlowii	Gyalecta_farlowii	Gyalecta farlowii	Lendemer	49035	NY	3033153	No									
FEN_490_Gyalideopsis_ozarkensis	Gyalideopsis_ozarkensis	Gyalideopsis bartramiorum	Tripp	6553	NY	2796833	No									
FEN_429_Halecania_sp	Halecania_sp	Helecania pepegospora	Tripp	6177	NY	2797035	No									
FEN_210_Herteliana_schuyleriana	Herteliana_schuyleriana	Herteliana schuyleriana	Lendemer	46371	NY	2795276	No									
FEN_86_Icmadophila_ericetorum	Icmadophila_ericetorum	Icmadophila ericetorum	Lendemer	46191	NY	2606757	No									
FEN_56_Imshaugia_aleurites	Imshaugia_aleurites	Imshaugia aleurites	Lendemer	46246	NY	2606702	No									
FEN_425_Ionaspis_lacustris	Ionaspis_lacustris	Ionaspis lacustris	Tripp	6164	NY	2796966	No									
FEN_471_Kephartia_crystalligera	Kephartia_crystalligera	Kephartia crystalligera	Lendemer	49633	NY	3034318	No									
FEN_270_Lasallia_papulosa	Lasallia_papulosa	Lasallia papulosa	Tripp	6068A	NY	2794304	No									
FEN_215_Umbilicaria_pensylvanica	Umbilicaria_pensylvanica	Lasallia pensylvanica	Lendemer	46347	NY	2795303	No									
FEN_94_Lecania_croatica	Lecania_croatica	Lecania croatica	Lendemer	46080	NY	2606867	No									
FEN_213_????_????	????_????	Lecidea	Lendemer	46382	NY	2795264	No									
FEN_332_Lecidea_berengeriana	Lecidea_berengeriana	Lecidea berengeriana	Lendemer	44645	NY	2438374	No									
FEN_340_Lecidea_berengeriana	Lecidea_berengeriana	Lecidea berengeriana	Tripp	5297	NY	3721081	No									
FEN_111_Lecidea_nylanderi	Lecidea_nylanderi	Lecidea nylanderi	Lendemer	46290	NY	2606658	No									
FEN_85_Lecidea_roseotincta	Lecidea_roseotincta	Lecidea roseotincta	Lendemer	46189	NY	2606759	Yes									
FEN_207_Lecidea_tessellata	Lecidea_tessellata	Lecidea tessellata	Lendemer	46384	NY	2795262	No									
FEN_239_Lecidella_sp	Lecidella_sp	Lecidella	Lendemer	46226	NY	2606722	No									
FEN_374_Leptogium_corticola	Leptogium_corticola	Leeptogium corticola	Lendemer	48694	NY	3033046	No									
FEN_121_Lepra_amara	Lepra_amara	Lepra amara	Lendemer	45895	NY	2606595	No									
FEN_392_Lepra_amara	Lepra_amara	Lepra amara	Lendemer	48823	NY	3033365	No									
FEN_30_Lepra_pustulata	Lepra_pustulata	Lepra pustulata	Lendemer	45890	NY	2606601	No									
FEN_357_Lepra_pustulata	Lepra_pustulata	Lepra pustulata	Lendemer	48604	NY	3032990	No									
FEN_87_Lepra_trachythallina	Lepra_trachythallina	Lepra trachythallina	Lendemer	46175	NY	2606772	No									
FEN_354_Lepraria_caesiella	Lepraria_caesiella	Lepraria caesiella	Lendemer	48569	NY	3217071	No									
FEN_465_Lepraria_disjuncta	Lepraria_disjuncta	Lepraria disjuncta	Tripp	6402	NY	2796634	No									
FEN_333_Lepraria_lanata	Lepraria_lanata	Lepraria lanata	Tripp	5092	NY	2359289	No									
FEN_512_Lepraria_finkii	Lepraria_finkii	Lepraria leprolomopsis	Lendemer	49971	NY	3034817	No									
FEN_334_Lepraria_normandinoides	Lepraria_normandinoides	Lepraria normandinoides race protocetraric acid	Tripp	3754	NY	1865620	No									
FEN_390_Lepraria_normandinoides	Lepraria_normandinoides	Lepraria normandinoides race protocetraric acid	Lendemer	48841	NY	3033348	No									
FEN_49_Lepraria_oxybapha	Lepraria_oxybapha	Lepraria oxybapha	Lendemer	46299	NY	2606649	No									
FEN_152_Lepraria_xanthonica	Lepraria_xanthonica	Lepraria xanthonica	Lendemer	46061	NY	2606886	No									
FEN_511_Lepraria_sp	Lepraria_sp	Leprocaulon nicholsiae ined.	Lendemer	49970	NY	3034818	No									
