run_accession	sample_accession	location	isolate	sample_alias
SRR14722154	SAMN19302567	35.4292 N 83.7547 W		FEN_216_Lecanora_strobilina_Plate2_D4_R1.fastq.gz
SRR14722155	SAMN19302566	35.1356 N 83.1911 W		FEN_215_Umbilicaria_pensylvanica_Plate2_E4_R1.fastq.gz
SRR14722156	SAMN19302565	35.1356 N 83.1911 W		FEN_214_Melanelia_stygia_Plate2_F4_R1.fastq.gz
SRR14722157	SAMN19302564	35.1356 N 83.1911 W	Lendemer_46382_NY-2795264	FEN_213_Unknown_Plate2_G4_R1.fastq.gz
SRR14722158	SAMN19302563	35.1356 N 83.1911 W		FEN_212_Lecanora_albella_var._rubescens_Plate2_H4_R1.fastq.gz
SRR14722159	SAMN19302562	35.1356 N 83.1911 W		FEN_211_Ochrolechia_arborea_Plate2_A5_R1.fastq.gz
SRR14722160	SAMN19302561	35.1356 N 83.1911 W		FEN_210_Herteliana_schuyleriana_Plate2_B5_R1.fastq.gz
SRR14722161	SAMN19302560	35.4372 N 83.7481 W		FEN_209_Leptogium_austroamericanum_Plate2_C5_R1.fastq.gz
SRR14722162	SAMN19302461	35.5631 N 83.4983 W		FEN_32_Hypogymnia_incurvoides_Plate1_C4_R1.fastq.gz
SRR14722163	SAMN19302559	35.1356 N 83.1911 W		FEN_208_Tephromela_atra_Plate2_D5_R1.fastq.gz
SRR14722164	SAMN19302558	35.1356 N 83.1911 W		FEN_207_Lecidea_tessellata_Plate2_E5_R1.fastq.gz
SRR14722165	SAMN19302557	35.1356 N 83.1911 W		FEN_206_Rhizocarpon_subgeminatum_Plate2_F5_R1.fastq.gz
SRR14722166	SAMN19302556	35.4372 N 83.7481 W		FEN_205_Parmotrema_xanthinum_Plate2_G5_R1.fastq.gz
SRR14722167	SAMN19302555	35.1356 N 83.1911 W		FEN_204_Dimelaena_oreina_Plate2_H5_R1.fastq.gz
SRR14722168	SAMN19302554	35.3272 N 83.9931 W		FEN_203_Parmotrema_stuppeum_Plate2_A6_R1.fastq.gz
SRR14722169	SAMN19302553	35.3272 N 83.9931 W		FEN_202_Punctelia_appalachensis_Plate2_B6_R1.fastq.gz
SRR14722170	SAMN19302552	35.1356 N 83.1911 W		FEN_201_Cladonia__rangiferina_Plate2_C6_R1.fastq.gz
SRR14722171	SAMN19302551	35.1356 N 83.1911 W		FEN_200_Cladonia__uncialis_Plate2_D6_R1.fastq.gz
SRR14722172	SAMN19302550	35.4372 N 83.7481 W		FEN_199_Chrysothrix_xanthina_Plate2_E6_R1.fastq.gz
SRR14722173	SAMN19302460	35.5631 N 83.4983 W		FEN_31_Melanohalea_halei_Plate1_B4_R1.fastq.gz
SRR14722174	SAMN19302451	35.4828 N 83.5597 W		FEN_3_Parmotrema_diffractaicum_Plate1_C1_R1.fastq.gz
SRR14722175	SAMN19302450	35.4828 N 83.5597 W		FEN_2_Nephroma_helveticum_Plate1_B1_R1.fastq.gz
SRR14722176	SAMN19302549	35.4372 N 83.7481 W		FEN_198_Caloplaca_feracissima_Plate3_H4_R1.fastq.gz
SRR14722177	SAMN19302548	35.3094 N 84.0261 W		FEN_197_Biatora_appalachensis_Plate2_F6_R1.fastq.gz
SRR14722178	SAMN19302547	35.4372 N 83.7481 W		FEN_196_Schismatomma_glaucescens_Plate3_G4_R1.fastq.gz
SRR14722179	SAMN19302546	35.4372 N 83.7481 W		FEN_195_Porina_heterospora_Plate3_F4_R1.fastq.gz
SRR14722180	SAMN19302545	35.4372 N 83.7481 W	Lendemer_46730_NY-2794914	FEN_194_Unknown_Plate2_G6_R1.fastq.gz
SRR14722181	SAMN19302544	35.1081 N 83.18 W		FEN_193_Gomphillus_calycioides_Plate2_H6_R1.fastq.gz
SRR14722182	SAMN19302543	35.4372 N 83.7481 W		FEN_192_Chaenotheca_balsamconensis_Plate3_E4_R1.fastq.gz
SRR14722183	SAMN19302542	35.4372 N 83.7481 W		FEN_191_Chaenotheca_furfuracea_Plate3_D4_R1.fastq.gz
SRR14722184	SAMN19302541	35.3094 N 84.0261 W		FEN_186_Lecanora_hybocarpa_Plate3_C4_R1.fastq.gz
SRR14722185	SAMN19302540	35.47 N 83.5583 W	Lendemer_46123_NY-2606825	FEN_153_Mycobilimbia_sp_Plate3_B4_R1.fastq.gz
SRR14722186	SAMN19302459	35.4675 N 83.5617 W		FEN_30_Lepra_pustulata_Plate3_A1_R1.fastq.gz
SRR14722187	SAMN19302539	35.4828 N 83.5597 W		FEN_152_Lepraria_xanthonica_Plate3_A4_R1.fastq.gz
SRR14722188	SAMN19302538	35.5631 N 83.4983 W		FEN_136_Xylographa_vitiligo_Plate3_H3_R1.fastq.gz
SRR14722189	SAMN19302537	35.4675 N 83.5617 W		Plate1_A12_S6_L002_R1_001.fastq.gz
SRR14722190	SAMN19302536	35.4675 N 83.5617 W		Plate1_B12_S12_L002_R1_001.fastq.gz
SRR14722191	SAMN19302535	35.4675 N 83.5617 W		Plate1_C12_S18_L002_R1_001.fastq.gz
SRR14722192	SAMN19302534	35.4675 N 83.5617 W		Plate1_D12_S24_L002_R1_001.fastq.gz
SRR14722193	SAMN19302533	35.4675 N 83.5617 W		Plate1_E12_S30_L002_R1_001.fastq.gz
SRR14722194	SAMN19302532	35.4675 N 83.5617 W		Plate1_F12_S36_L002_R1_001.fastq.gz
SRR14722195	SAMN19302531	35.4675 N 83.5617 W		FEN_116_Bacidia_schweinitzii_Plate3_G3_R1.fastq.gz
SRR14722196	SAMN19302530	35.4675 N 83.5617 W		Plate1_G12_S42_L002_R1_001.fastq.gz
SRR14722197	SAMN19302458	35.4675 N 83.5617 W		FEN_29_Leptogium_corticola_Plate1_A4_R1.fastq.gz
SRR14722198	SAMN19302529	35.4675 N 83.5617 W		Plate1_H12_S48_L002_R1_001.fastq.gz
SRR14722199	SAMN19302528	35.585 N 83.4747 W		Plate1_H11_S47_L002_R1_001.fastq.gz
SRR14722200	SAMN19302527	35.61 N 83.4467 W		FEN_112_Arthonia_vinosa_Plate3_F3_R1.fastq.gz
SRR14722201	SAMN19302526	35.61 N 83.4467 W		FEN_111_Lecidea_nylanderi_Plate3_E3_R1.fastq.gz
SRR14722202	SAMN19302525	35.61 N 83.4467 W		FEN_110_Hypocenomyce_scalaris_Plate3_D3_R1.fastq.gz
SRR14722203	SAMN19302524	35.61 N 83.4467 W		Plate1_G11_S41_L002_R1_001.fastq.gz
SRR14722204	SAMN19302523	35.61 N 83.4467 W		Plate1_F11_S35_L002_R1_001.fastq.gz
SRR14722205	SAMN19302522	35.5631 N 83.4983 W		Plate1_E11_S29_L002_R1_001.fastq.gz
SRR14722206	SAMN19302521	35.4675 N 83.5617 W		Plate1_D11_S23_L002_R1_001.fastq.gz
SRR14722207	SAMN19302520	35.4675 N 83.5617 W		Plate1_C11_S17_L002_R1_001.fastq.gz
SRR14722208	SAMN19302457	35.47 N 83.5583 W		FEN_24_Lobaria_quercizans_Plate1_D3_R1.fastq.gz
SRR14722209	SAMN19302519	35.4828 N 83.5597 W		FEN_104_Rinodina_buckii_Plate3_C3_R1.fastq.gz
SRR14722210	SAMN19302518	35.4828 N 83.5597 W		FEN_103_Caloplaca_camptidia_Plate3_B3_R1.fastq.gz
SRR14722211	SAMN19302517	35.4828 N 83.5597 W		Plate1_B11_S11_L002_R1_001.fastq.gz
SRR14722212	SAMN19302516	35.4828 N 83.5597 W		Plate1_A11_S5_L002_R1_001.fastq.gz
SRR14722213	SAMN19302515	35.4828 N 83.5597 W		FEN_100_Pseudosagedia_isidiata_Plate3_A3_R1.fastq.gz
SRR14722214	SAMN19302514	35.4828 N 83.5597 W		Plate1_D10_S22_L002_R1_001.fastq.gz
SRR14722215	SAMN19302513	35.4828 N 83.5597 W		FEN_98_Buellia_vernicoma_Plate3_H2_R1.fastq.gz
SRR14722216	SAMN19302512	35.4675 N 83.5617 W		Plate1_C10_S16_L002_R1_001.fastq.gz
SRR14722217	SAMN19302511	35.4675 N 83.5617 W		Plate1_B10_S10_L002_R1_001.fastq.gz
SRR14722218	SAMN19302510	35.4828 N 83.5597 W		Plate1_A10_S4_L002_R1_001.fastq.gz
SRR14722219	SAMN19302456	35.4675 N 83.5617 W		FEN_21_Hypotrachyna_minarum_Plate2_G1_R1.fastq.gz
SRR14722220	SAMN19302509	35.47 N 83.5583 W		FEN_94_Lecania_croatica_Plate3_G2_R1.fastq.gz
SRR14722221	SAMN19302508	35.47 N 83.5583 W		FEN_93_Meglaospora_porphyritis_Plate2_A1_R1.fastq.gz
SRR14722222	SAMN19302507	35.47 N 83.5583 W		FEN_92_Arthonia_quintaria_Plate3_F2_R1.fastq.gz
SRR14722223	SAMN19302506	35.5631 N 83.4983 W		Plate1_H9_S45_L002_R1_001.fastq.gz
SRR14722224	SAMN19302505	35.5631 N 83.4983 W		Plate1_G9_S39_L002_R1_001.fastq.gz
SRR14722225	SAMN19302504	35.585 N 83.4747 W		FEN_89_Lopadium_disciforme_Plate3_E2_R1.fastq.gz
SRR14722226	SAMN19302503	35.5631 N 83.4983 W		Plate1_F9_S33_L002_R1_001.fastq.gz
SRR14722227	SAMN19302502	35.5631 N 83.4983 W		Plate1_E9_S27_L002_R1_001.fastq.gz
SRR14722228	SAMN19302501	35.5631 N 83.4983 W		Plate1_D9_S21_L002_R1_001.fastq.gz
SRR14722229	SAMN19302500	35.5631 N 83.4983 W		FEN_85_Lecidea_roseotincta_Plate3_D2_R1.fastq.gz
SRR14722230	SAMN19302455	35.4675 N 83.5617 W		FEN_20_Coccocarpia_palmicola_Plate2_D1_R1.fastq.gz
SRR14722231	SAMN19302499	35.5631 N 83.4983 W		FEN_84_Lecanora_masana_Plate3_C2_R1.fastq.gz
SRR14722232	SAMN19302498	35.5631 N 83.4983 W		FEN_83_Lecanora_rugosella_Plate3_B2_R1.fastq.gz
SRR14722233	SAMN19302497	35.61 N 83.4467 W		FEN_82_Arthonia_ruana_Plate3_A2_R1.fastq.gz
SRR14722234	SAMN19302496	35.4828 N 83.5597 W		Plate1_C9_S15_L002_R1_001.fastq.gz
SRR14722235	SAMN19302495	35.4828 N 83.5597 W		Plate1_B9_S9_L002_R1_001.fastq.gz
SRR14722236	SAMN19302494	35.4828 N 83.5597 W		Plate1_A9_S3_L002_R1_001.fastq.gz
SRR14722237	SAMN19302493	35.4828 N 83.5597 W		Plate1_H8_S44_L002_R1_001.fastq.gz
SRR14722238	SAMN19302492	35.4828 N 83.5597 W		Plate1_G8_S38_L002_R1_001.fastq.gz
SRR14722239	SAMN19302491	35.4828 N 83.5597 W		Plate1_F8_S32_L002_R1_001.fastq.gz
SRR14722240	SAMN19302862	34.94088 N 86.0827 W		FEN_541_Vulpicida_viridis_Plate5_R1.fastq.gz
SRR14722241	SAMN19302861	33.1947 N 86.0639 W		FEN_540_Canoparmelia_alabamensis_Plate5_R1.fastq.gz
SRR14722242	SAMN19302860	34.3092 N 87.3947 W	Tripp_6765_NY-2690388	FEN_539_Pseudosagedia_sp_Plate5_R1.fastq.gz
SRR14722243	SAMN19302859	34.3092 N 87.3947 W		FEN_538_Usnea_angulata_Plate5_R1.fastq.gz
SRR14722244	SAMN19302858	34.3092 N 87.3947 W		FEN_537_Usnea_subscabrosa_Plate5_R1.fastq.gz
SRR14722245	SAMN19302857	34.3092 N 87.3947 W		FEN_536_Lepraria_friabilis_Plate5_R1.fastq.gz
SRR14722246	SAMN19302856	34.3092 N 87.3947 W		FEN_535_Pyrenula_santensis_Plate5_R1.fastq.gz
SRR14722247	SAMN19302855	34.3092 N 87.3947 W		FEN_534_Fuscopannaria_leucosticta_Plate5_R1.fastq.gz
SRR14722248	SAMN19302854	34.3092 N 87.3947 W		FEN_533_Usnea_trichodea_Plate5_R1.fastq.gz
SRR14722249	SAMN19302853	34.3092 N 87.3947 W		FEN_532_Anthracothecium_nanum_Plate5_R1.fastq.gz
SRR14722250	SAMN19302490	35.4828 N 83.5597 W		Plate1_E8_S26_L002_R1_001.fastq.gz
SRR14722251	SAMN19302454	35.4828 N 83.5597 W		FEN_18_Trapelia_coarctata_Plate2_F1_R1.fastq.gz
SRR14722252	SAMN19302852	34.3092 N 87.3947 W		FEN_531_Pseudocyphellaria_aurata_Plate5_R1.fastq.gz
SRR14722253	SAMN19302851	34.3408 N 87.4422 W		FEN_530_Xylopsora_friesii_Plate5_R1.fastq.gz
SRR14722254	SAMN19302850	34.3408 N 87.4422 W		FEN_529_Ramboldia_blochiana_Plate5_R1.fastq.gz
SRR14722255	SAMN19302849	34.3408 N 87.4422 W		FEN_528_Pertusaria_epixantha_Plate5_R1.fastq.gz
SRR14722256	SAMN19302848	34.3408 N 87.4422 W		FEN_527_Heterodermia_crocea_Plate5_R1.fastq.gz
SRR14722257	SAMN19302847	34.3408 N 87.4422 W		FEN_526_Acrocordia_megalospora_Plate5_R1.fastq.gz
SRR14722258	SAMN19302846	34.3311 N 87.4506 W		FEN_525_Lobaria_ravenelii_Plate5_R1.fastq.gz
SRR14722259	SAMN19302845	34.3386 N 87.4433 W		FEN_524_Anzia_ornata_Plate5_R1.fastq.gz
SRR14722260	SAMN19302844	34.3311 N 87.4506 W	Lendemer_50063_NY-	FEN_523_Arthonia_norstictica_Plate5_R1.fastq.gz
SRR14722261	SAMN19302843	34.3311 N 87.4506 W	Lendemer_50057_NY-3034691	FEN_522_Trentepohlia_Plate5_R1.fastq.gz
SRR14722262	SAMN19302489	35.4828 N 83.5597 W		Plate1_D8_S20_L002_R1_001.fastq.gz
SRR14722263	SAMN19302842	34.3311 N 87.4506 W		FEN_521_Dictyocatenulata_alba_Plate5_R1.fastq.gz
SRR14722264	SAMN19302841	34.3311 N 87.4506 W		FEN_520_Leucodecton_subcompunctum_Plate5_R1.fastq.gz
SRR14722265	SAMN19302840	34.3311 N 87.4506 W		FEN_519_Thelotrema_subtile_Plate5_R1.fastq.gz
SRR14722266	SAMN19302839	34.3311 N 87.4506 W		FEN_518_Heterodermia_obscurata_Plate5_R1.fastq.gz
SRR14722267	SAMN19302838	34.323162 N 87.46287 W		FEN_517_Sticta_deyana_Plate5_R1.fastq.gz
SRR14722268	SAMN19302837	34.3311 N 87.4506 W		FEN_516_Parmotrema_rampoddense_Plate5_R1.fastq.gz
SRR14722269	SAMN19302836	34.33878 N 87.44333 W		FEN_515_Cladonia_didyma_Plate5_R1.fastq.gz
SRR14722270	SAMN19302835	34.431644 N 86.193344 W		FEN_514_Chrysothrix_xanthina_Plate5_R1.fastq.gz
SRR14722271	SAMN19302834	34.3247 N 87.4506 W		FEN_513_Rockerfellera_crossophylla_Plate5_R1.fastq.gz
SRR14722272	SAMN19302833	34.308 N 87.50314 W		FEN_512_Lepraria_finkii_Plate6_R1.fastq.gz
SRR14722273	SAMN19302488	35.4828 N 83.5597 W		Plate1_C8_S14_L002_R1_001.fastq.gz
SRR14722274	SAMN19302832	34.308 N 87.50314 W		FEN_511_Lepraria_sp_Plate6_R1.fastq.gz
SRR14722275	SAMN19302831	34.308 N 87.50314 W		FEN_510_Micareopsis_irriguata_Plate6_R1.fastq.gz
SRR14722276	SAMN19302830	34.308 N 87.50314 W		FEN_509_Cystocoleus_ebeneus_Plate6_R1.fastq.gz
SRR14722277	SAMN19302829	34.308 N 87.50314 W		FEN_508_Cladonia_furcata_Plate6_R1.fastq.gz
SRR14722278	SAMN19302828	34.308 N 87.50314 W		FEN_507_Buellia_spuria_Plate6_R1.fastq.gz
SRR14722279	SAMN19302827	34.308 N 87.50314 W		FEN_506_Byssoloma_meadii_Plate6_R1.fastq.gz
SRR14722280	SAMN19302826	34.308 N 87.50314 W		FEN_505_Polymeridium_proponens_Plate6_R1.fastq.gz
SRR14722281	SAMN19302825	34.308 N 87.50314 W		FEN_504_Trypethelium_virens_Plate6_R1.fastq.gz
SRR14722282	SAMN19302824	34.308 N 87.50314 W		FEN_503_Peltigera_neckeri_Plate6_R1.fastq.gz
SRR14722283	SAMN19302823	34.308 N 87.50314 W		FEN_502_Cresponea_flava_Plate6_R1.fastq.gz
SRR14722284	SAMN19302487	35.5631 N 83.4983 W		Plate1_H7_S43_L002_R1_001.fastq.gz
SRR14722285	SAMN19302822	34.308 N 87.50314 W		FEN_501_Leptogium_dactylinum_Plate6_R1.fastq.gz
SRR14722286	SAMN19302821	34.308 N 87.50314 W		FEN_500_Micarea_peliocarpa_Plate6_R1.fastq.gz
SRR14722287	SAMN19302820	34.308 N 87.50314 W		FEN_499_Flakea_papillata_Plate6_R1.fastq.gz
SRR14722288	SAMN19302819	34.308 N 87.50314 W		FEN_498_Dibaeis_sorediata_Plate6_R1.fastq.gz
SRR14722289	SAMN19302818	34.308 N 87.50314 W		FEN_497_Parmotrema_rampoddense_Plate6_R1.fastq.gz
SRR14722290	SAMN19302817	34.32911 N 87.50922 W		FEN_496_Cladonia_robbinsii_Plate6_R1.fastq.gz
SRR14722291	SAMN19302816	34.32911 N 87.50922 W		FEN_495_Tuckermanopsis_ciliaris_Plate6_R1.fastq.gz
SRR14722292	SAMN19302815	34.32911 N 87.50922 W		FEN_494_Cladonia_rangiferina_Plate6_R1.fastq.gz
SRR14722293	SAMN19302814	34.32911 N 87.50922 W		FEN_493_Cladonia_subtenuis_Plate6_R1.fastq.gz
SRR14722294	SAMN19302813	34.32911 N 87.50922 W		FEN_492_Cladonia_caroliniana_Plate6_R1.fastq.gz
SRR14722295	SAMN19302486	35.5631 N 83.4983 W		Plate1_G7_S37_L002_R1_001.fastq.gz
SRR14722296	SAMN19302812	34.32911 N 87.50922 W		FEN_491_Cladonia_ravenelii_Plate6_R1.fastq.gz
SRR14722297	SAMN19302811	34.32911 N 87.50922 W		FEN_490_Gyalideopsis_ozarkensis_Plate6_R1.fastq.gz
SRR14722298	SAMN19302810	34.3092 N 87.3947 W		FEN_489_Cladonia_uncialis_Plate6_R1.fastq.gz
SRR14722299	SAMN19302809	34.32911 N 87.50922 W		FEN_488_Cladonia_squamosa_Plate6_R1.fastq.gz
SRR14722300	SAMN19302808	34.32911 N 87.50922 W		FEN_487_Punctelia_caseana_Plate6_R1.fastq.gz
SRR14722301	SAMN19302807	34.32911 N 87.50922 W		FEN_486_Cladonia_leporina_Plate6_R1.fastq.gz
SRR14722302	SAMN19302806	34.32911 N 87.50922 W		FEN_485_Hypotrachyna_osseoalba_Plate6_R1.fastq.gz
SRR14722303	SAMN19302805	34.32911 N 87.50922 W		FEN_484_ssc___Plate6_R1.fastq.gz
SRR14722304	SAMN19302804	34.97881 N 86.08822 W		FEN_483_Micareopsis_irriguata_Plate6_R1.fastq.gz
SRR14722305	SAMN19302803	34.97881 N 86.08822 W		FEN_482_Heterodermia_casarettiana_Plate6_R1.fastq.gz
SRR14722306	SAMN19302485	35.61 N 83.4467 W		Plate1_F7_S31_L002_R1_001.fastq.gz
SRR14722307	SAMN19302802	34.97881 N 86.08822 W		FEN_481_Placynthium_petersii_Plate6_R1.fastq.gz
SRR14722308	SAMN19302801	34.97881 N 86.08822 W		FEN_480_Willeya_diffractella_Plate6_R1.fastq.gz
SRR14722309	SAMN19302800	34.35056 N 85.67525 W		FEN_479_ssc_3_Plate6_R1.fastq.gz
SRR14722310	SAMN19302799	34.94025 N 85.97656 W		FEN_478_Parmotrema_austrosinense_Plate6_R1.fastq.gz
SRR14722311	SAMN19302798	34.95553 N 85.99956 W		FEN_477_Phlyctis_boliviensis_Plate6_R1.fastq.gz
SRR14722312	SAMN19302797	34.95553 N 85.99956 W		FEN_476_Protoblastenia_rupestris_Plate6_R1.fastq.gz
SRR14722313	SAMN19302796	34.95553 N 85.99956 W		FEN_475_Phlyctis_petraea_Plate6_R1.fastq.gz
SRR14722314	SAMN19302795	34.95553 N 85.99956 W		FEN_474_Peltigera_phyllidiosa_Plate6_R1.fastq.gz
SRR14722315	SAMN19302794	34.95553 N 85.99956 W		FEN_473_Leptogium_lichenoides_Plate6_R1.fastq.gz
SRR14722316	SAMN19302793	34.95553 N 85.99956 W		FEN_472_Heterodermia_echinata_Plate6_R1.fastq.gz
SRR14722317	SAMN19302484	35.4675 N 83.5617 W		Plate1_E7_S25_L002_R1_001.fastq.gz
SRR14722318	SAMN19302792	34.95553 N 85.99956 W		FEN_471_Kephartia_crystalligera_Plate6_R1.fastq.gz
SRR14722319	SAMN19302791	34.95553 N 85.99956 W		FEN_470_Cladonia_furcata_Plate6_R1.fastq.gz
SRR14722320	SAMN19302790	34.95553 N 85.99956 W		FEN_469_Peltigera_praetextata_Plate6_R1.fastq.gz
SRR14722321	SAMN19302789	34.95553 N 85.99956 W		FEN_468_Bagliettoa_baldensis_Plate6_R1.fastq.gz
SRR14722322	SAMN19302788	34.95553 N 85.99956 W	Tripp_6417_NY-2796640	FEN_467_Trentepohlia_sp_Plate6_R1.fastq.gz
SRR14722323	SAMN19302787	34.95553 N 85.99956 W		FEN_466_Nadvornikia_sorediata_Plate6_R1.fastq.gz
SRR14722324	SAMN19302786	34.95553 N 85.99956 W		FEN_465_Lepraria_disjuncta_Plate6_R1.fastq.gz
SRR14722325	SAMN19302785	34.95553 N 85.99956 W		FEN_464_Parmotrema_internexum_Plate6_R1.fastq.gz
SRR14722326	SAMN19302784	34.95553 N 85.99956 W		FEN_463_Parmotrema_arnoldii_Plate6_R1.fastq.gz
SRR14722327	SAMN19302783	34.97797 N 85.81031 W		FEN_462_Catillaria_lenticularis_Plate6_R1.fastq.gz
SRR14722328	SAMN19302483	35.4675 N 83.5617 W		Plate1_D7_S19_L002_R1_001.fastq.gz
SRR14722329	SAMN19302782	34.97797 N 85.81031 W		FEN_461_Parmotrema_cetratum_Plate6_R1.fastq.gz
SRR14722330	SAMN19302781	34.97797 N 85.81031 W		FEN_460_Pertusaria_obruta_Plate6_R1.fastq.gz
