Run	SampleName	ScientificName	Current_Determination	Basidiomycete.Hit.	processed
SRR14722202	FEN_110_Hypocenomyce_scalaris_Plate3_D3_R1.fastq.gz	Hypocenomyce scalaris	Hypocenomyce scalaris	No	FALSE
SRR14722208	FEN_24_Lobaria_quercizans_Plate1_D3_R1.fastq.gz	Ricasolia quercizans	Lobaria quercizans	No	FALSE
SRR14722209	FEN_104_Rinodina_buckii_Plate3_C3_R1.fastq.gz	Rinodina buckii	Rinodina buckii	No	FALSE
SRR14722210	FEN_103_Caloplaca_camptidia_Plate3_B3_R1.fastq.gz	Caloplaca camptidia	Caloplaca camptidia	No	FALSE
SRR14722213	FEN_100_Pseudosagedia_isidiata_Plate3_A3_R1.fastq.gz	Pseudosagedia isidiata	Pseudosagedia isidiata	No	FALSE
SRR14722215	FEN_98_Buellia_vernicoma_Plate3_H2_R1.fastq.gz	Buellia vernicoma	Buellia vernicoma	No	FALSE
SRR14722219	FEN_21_Hypotrachyna_minarum_Plate2_G1_R1.fastq.gz	Hypotrachyna sp. JCL-2020a	Hypotrachyna minarum	No	FALSE
SRR14722220	FEN_94_Lecania_croatica_Plate3_G2_R1.fastq.gz	Lecania croatica	Lecania croatica	No	FALSE
SRR14722221	FEN_93_Meglaospora_porphyritis_Plate2_A1_R1.fastq.gz	Megalospora porphyritis	Megalospora porphyritis	No	FALSE
SRR14722222	FEN_92_Arthonia_quintaria_Plate3_F2_R1.fastq.gz	Arthonia quintaria	Arthonia quintaria	No	FALSE
SRR14722225	FEN_89_Lopadium_disciforme_Plate3_E2_R1.fastq.gz	Lopadium disciforme	Lopadium disciforme	No	FALSE
SRR14722229	FEN_85_Lecidea_roseotincta_Plate3_D2_R1.fastq.gz	Lecidea roseotincta	Lecidea roseotincta	Yes	FALSE
SRR14722230	FEN_20_Coccocarpia_palmicola_Plate2_D1_R1.fastq.gz	Coccocarpia palmicola	Coccocarpia palmicola	No	FALSE
SRR14722231	FEN_84_Lecanora_masana_Plate3_C2_R1.fastq.gz	Lecanora masana	Lecanora masana	No	FALSE
SRR14722232	FEN_83_Lecanora_rugosella_Plate3_B2_R1.fastq.gz	Lecanora rugosella	Lecanora rugosella	No	FALSE
SRR14722233	FEN_82_Arthonia_ruana_Plate3_A2_R1.fastq.gz	Arthothelium ruanum	Arthonia ruana	No	FALSE
SRR14722251	FEN_18_Trapelia_coarctata_Plate2_F1_R1.fastq.gz	Trapelia coarctata	Trapelia coarctata	No	FALSE
SRR14722272	FEN_512_Lepraria_finkii_Plate6_R1.fastq.gz	Lepraria leprolomopsis	Lepraria leprolomopsis	No	FALSE
SRR14722274	FEN_511_Lepraria_sp_Plate6_R1.fastq.gz	Leprocaulon nicholsiae	Leprocaulon nicholsiae ined.	No	FALSE
SRR14722275	FEN_510_Micareopsis_irriguata_Plate6_R1.fastq.gz	Micareopsis irriguata	Micareopsis irriguata	No	FALSE
