Taxa	total_occ
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae	172
Eukaryota;Alveolata;Ciliophora;Intramacronucleata;Spirotrichea	172
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Verrucomicrobiaceae	168
Bacteria;Firmicutes;Clostridia;Clostridiales;Veillonellaceae	166
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Brucellaceae	166
Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Streptosporangiaceae	165
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae	164
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Cellulomonadaceae	163
Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Sinobacteraceae	159
Bacteria;Candidate division TM7;Unclassified Candidate division TM7;;	158
Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bdellovibrionaceae	158
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae	157
Bacteria;Acidobacteria;Acidobacteria;Order Incertae Sedis;Family Incertae Sedis	156
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae	155
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae	152
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae	152
Bacteria;Proteobacteria;Deltaproteobacteria;Myxococcales;Haliangiaceae	151
Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;TM214	150
Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae	150
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Nakamurellaceae	149
Eukaryota;Metazoa;Rotifera;Rotifera;Philodinidae	149
Eukaryota;Archaeplastida;Chloroplastida;Unclassified Chloroplastida;	148
Eukaryota;Rhizaria;Cercozoa;Glissomonadida;Unclassified Glissomonadida	147
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae	143
Eukaryota;Viridiplantae;Chlorophyta;Trebouxiophyceae;Asterochloris magna	142
Eukaryota;Viridiplantae;Chlorophyta;Trebouxiophyceae;Viridiella fridericiana	140
Bacteria;Actinobacteria;Actinobacteria;Frankiales;Acidothermaceae	139
Bacteria;Chloroflexi;Ktedonobacteria;Ktedonobacterales;Ktedonobacteraceae	139
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae	139
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae	138
Eukaryota;Viridiplantae;Chlorophyta;Trebouxiophyceae;Leptosira obovata	135
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae	134
Eukaryota;Alveolata;Apicomplexa;Conoidasida;Gregarinasina	134
Bacteria;Cyanobacteria;Cyanobacteria;SubsectionV;FamilyI	132
Bacteria;Chloroflexi;Chloroflexi;Chloroflexales;Chloroflexaceae	130
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;wr0007	130
Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Coxiellaceae	130
Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;alphaI cluster	129
Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Intrasporangiaceae	128
Eukaryota;Unikonta;Amoebozoa;Conosa;Myxogastria	128
Eukaryota;Fungi;Basidiomycota;Unclassified Basidiomycota;	127
Bacteria;Armatimonadetes;Chthonomonadetes;Chthonomonadales;Chthonomonadaceae	126
Eukaryota;Fungi;Basal fungi;Basal fungi;Unclassified Basal fungi	126
Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae	125
Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Ulvophyceae	125
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Unclassified Cytophagales	124
Eukaryota;Fungi;Ascomycota;Pezizomycotina;Incertae Sedis	124
Eukaryota;Fungi;Basal fungi;Basal fungi;Chytridiomycota	124
Bacteria;Acidobacteria;Acidobacteria;DA023;Unclassified DA023	120
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Conexibacteraceae	120
Eukaryota;Fungi;Ascomycota;Pezizomycotina;Verrucariales	116
Eukaryota;Fungi;Basidiomycota;Pucciniomycotina;Cystobasidiomycetes	114
Eukaryota;Fungi;Ascomycota;Pezizomycotina;Mycocaliciales	113
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae	112
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae	111
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae	110
Bacteria;Verrucomicrobia;Opitutae;Opitutales;Opitutaceae	108
Bacteria;Proteobacteria;Deltaproteobacteria;Syntrophobacterales;Syntrophaceae	107
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Unclassified Desulfuromonadales	104
Eukaryota;Fungi;Basidiomycota;Ustilaginomycotina;Exobasidiomycetes	104
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae	103
Bacteria;Tenericutes;Mollicutes;Mycoplasmatales;Mycoplasmataceae	103
Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae	102
Eukaryota;Fungi;Basidiomycota;Pucciniomycotina;Agaricostilbomycetes	102
