Lichen.metagenomes	Source	Produced	Run	Batch	architecture	family	order	class	bacteria_other	mycobiont	fungi_other	photobiont_chloro	algae_other	photobiont_cyano	cephalodia_cyano	mycobiont_missassigned	cypho	tremella	mycobiont_all	depth
Leptogium corticola	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721930	second	macro		Peltigerales	Lecanoromycetes	9.841524421	0	0	0	0	0	0	0	0	0	0	1525000944
Phaeophyscia rubropulchra	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721931	second	macro	Physciaceae	Caliciales	Lecanoromycetes	0	5.099932838	0	0	0	0	0	0	0	0	5.099932838	1559618298
Thelotrema subtile	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721932	second	crust		Gyalectales	Lecanoromycetes	1.630129738	25.18610159	0	0	0	0	0	0	0	0	25.18610159	1337832518
Bathelium carolinianum	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721933	second	crust		Strigulales	Dothideomycetes	2.017071379	30.25346497	0	0	0	0	0	0	0	0	30.25346497	1623848866
Sporodophoron americanum	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721934	second	crust		Arthoniales	Arthoniomycetes	0	0	0	0	0	0	0	0	0	0	0	331294
Parmotrema submarginale	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721935	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	0	12.4633813	0	0	0	0	0	0	0	0	12.4633813	1234573282
Cladonia peziziformis	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721936	second	macro	Cladoniaceae	Lecanorales	Lecanoromycetes	0.842206382	5.955529381	0	0	0	0	0	0	0	0	5.955529381	794350298
Dermatocarpon luridum	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721937	second	macro		Verrucariales	Eurotiomycetes	10.565885945	11.6050799	0	0	0	0	0	0	0	0	11.6050799	1786893834
Anaptychia palmatula	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721938	second	macro	Physciaceae	Caliciales	Lecanoromycetes	14.607714351	0	0	0	0	0	0	0	0	0	0	1606387226
Cladonia polycarpoides	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721939	second	macro	Cladoniaceae	Lecanorales	Lecanoromycetes	7.104299151	6.589786368	0	0	0	0	0	0	0	0	6.589786368	991726022
Porpidia subsimplex	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721941	second	crust		Lecideales	Lecanoromycetes	29.596247997	17.86360209	0	0	0	0	0	0	0	0	17.86360209	1286751030
Bulbothrix scortella	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721942	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	8.460842019	24.45593475	0	0	0	0	0	0	0	0	24.45593475	1576656232
Parmotrema neotropicum	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721943	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	0	22.66916475	0	0	0	0	0	0	0	0	22.66916475	1393932642
Pyrrhospora varians	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721944	second	crust	Lecanoraceae	Lecanorales	Lecanoromycetes	22.946461891	8.766455908	0	0	0	0	0	0	0	0	8.766455908	1492914048
Trapelia placodioides	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721945	second	crust		Baeomycetales	Lecanoromycetes	2.086371598	39.45107983	0	0	0	0	0	0	0	0	39.45107983	1650596100
Thelotrema defectum	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721946	second	crust		Gyalectales	Lecanoromycetes	0	27.27255862	1.35124318	0	0	0	0	0	0	0	27.27255862	1392508410
Usnea mutabilis	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721947	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	5.804112044	34.31600506	0	0	0	0	0	0	0	0	34.31600506	1998564728
Porpidia albocaerulescens	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721948	second	crust		Lecideales	Lecanoromycetes	1.260668853	27.60687915	0	0	0	0	0	0	0	0	27.60687915	1358620084
Buellia spuria	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721949	second	crust		Caliciales	Lecanoromycetes	2.634357851	26.40347768	0	0	0	0	0	0	0	0	26.40347768	1630314384
Pseudosagedia chlorotica	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721950	second	macro		Gyalectales	Lecanoromycetes	8.674263097	21.01845139	0	0	0	0	0	0	0	0	21.01845139	1680403802
Cladonia ochrochlora	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721952	second	macro	Cladoniaceae	Lecanorales	Lecanoromycetes	5.60533051	11.74728862	0	0	0	0	0	0	0	0	11.74728862	1650217694
Pannaria tavaresii	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721953	second	macro		Peltigerales	Lecanoromycetes	2.516057235	5.04203016	0	0	0	17.7246946	0	0	0	0	5.04203016	1713412100
Collema furfuraceum	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721954	second	macro		Peltigerales	Lecanoromycetes	17.3568435	6.066597642	0	0	0	31.077628	0	0	0	0	6.066597642	2031774158
Halecania pepegospora	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721955	second	crust		Leprocaulales	Lecanoromycetes	10.142599471	8.42961414	7.315005254	0	0	0	0	0	0	0	8.42961414	1448166708
Parmotrema ultralucens	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721956	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	6.512554667	8.098172268	0	0	0	0	0	0	0	0	8.098172268	2428900534
Ephebe solida	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721957	second	macro		Lichinales	Lichinomycetes	28.572351258	6.293504807	0	0	0	47.99278012	0	0	0	0	6.293504807	1959059806
Dibaeis absoluta	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721958	second	crust		Pertusariales	Lecanoromycetes	0	0	0	0	0	0	0	0	0	0	0	77462396
Ionaspis lacustris	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721959	second	crust		Baeomycetales	Lecanoromycetes	0	32.07484761	0	0	0	0	0	0	0	0	32.07484761	1316976096
Phyllopsora corallina	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721960	second	crust	Ramalinaceae	Lecanorales	Lecanoromycetes	18.6803208	9.755516525	0	0	0	0	0	0	0	0	9.755516525	2429449570
Dermatocarpon muhlenbergii	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721961	second	macro		Verrucariales	Eurotiomycetes	0	4.229363414	0	0	0	0	0	0	0	0	4.229363414	2500335916
Ramalina petrina	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721962	second	macro	Ramalinaceae	Lecanorales	Lecanoromycetes	15.461014729	23.7337322	0	1.02007577	0	0	0	0	0	0	23.7337322	1438330870
Phyllopsora parvifolia	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721964	second	crust	Ramalinaceae	Lecanorales	Lecanoromycetes	27.11108374	11.88531273	0	0	0	0	0	0	0	0	11.88531273	1611903860
Cladonia petrophila	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721965	second	crust	Cladoniaceae	Lecanorales	Lecanoromycetes	1.013282601	18.2154818	0	0	0	0	0	0	0	0	18.2154818	1614020880
Opegrapha moroziana	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721966	second	crust		Arthoniales	Arthoniomycetes	78.34580216	41.12991162	0	0	0	0	0	0	0	0	41.12991162	2128997320
Phaeophyscia adiastola	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721967	second	macro	Physciaceae	Caliciales	Lecanoromycetes	0	0	0	0	0	0	0	0	0	0	0	1620673940
Botryolepraria lesdainii	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721968	second	crust		Verrucariales	Eurotiomycetes	0	7.800707809	0	0	0	0	0	0	0	0	7.800707809	1667041510
Chrysothrix onokoensis	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721969	second	crust		Arthoniales	Arthoniomycetes	0	0	0	0	0	0	0	0	0	0	0	885910960
Leucodecton sp. Tripp_6156_NY-2796959	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721970	second	crust		Gyalectales	Lecanoromycetes	0	17.90799178	0	0	0	0	0	0	0	0	17.90799178	1231440938
Porina heterospora	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721971	second	crust		Gyalectales	Lecanoromycetes	0	7.298418597	0	0	0	0	0	0	0	0	7.298418597	658905110
Sticta carolinensis	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721972	second	macro		Peltigerales	Lecanoromycetes	0	0	0	0	0	6.22999779	0	0	0	0	0	721821072
Fissurina insidiosa	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721973	second	crust		Gyalectales	Lecanoromycetes	0	6.498047901	0	0	0	0	0	0	0	0	6.498047901	586278942
Hypotrachyna catawbiensis	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721974	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	4.404590961	11.87972871	0	0	0	0	0	0	0	0	11.87972871	1756628904
Leptogium cyanescens	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721975	second	macro		Peltigerales	Lecanoromycetes	0	0	0	0	0	1.068193115	0	0	0	0	0	168207054
Porina scabrida	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721976	second	crust		Gyalectales	Lecanoromycetes	0	0	0	0	0	0	0	0	0	0	0	296490010
Pseudosagedia cestrensis	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721977	second	crust		Gyalectales	Lecanoromycetes	0	6.723054852	0	0	0	0	0	0	0	0	6.723054852	610283110
Arthonia rubella	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721978	second	crust		Arthoniales	Arthoniomycetes	0	22.87655216	0	0	0	0	0	0	0	0	22.87655216	1229069030
Parmotrema tinctorum	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721979	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	0	13.23958075	0	0	0	0	0	0	0	0	13.23958075	1295686606
Aspicilia laevata	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721980	second	crust		Pertusariales	Lecanoromycetes	14.58490412	22.35923019	0	0	0	0	0	0	0	0	22.35923019	1289181526
Pyxine albovirens	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721981	second	macro	Caliciaceae	Caliciales	Lecanoromycetes	0	0	0	0	0	0	0	0	0	0	0	471270396
fungal sp. Lendemer_49042_NY-3033146	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721982	second	crust		0	Unknown	0	21.51672314	0	0	0	0	0	0	0	0	21.51672314	1195195804
Gyalecta farlowii	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721983	second	crust		Gyalectales	Lecanoromycetes	0	23.40361387	0	0	0	0	0	0	0	0	23.40361387	1179233292
Pertusaria plittiana	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721984	second	crust		Pertusariales	Lecanoromycetes	0	11.87743146	0	0	0	0	0	0	0	0	11.87743146	923492444
Imshaugia aleurites	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721985	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	40.291933506	5.265746083	0	0	0	0	0	0	0	0	5.265746083	1273065296
Dirinaria frostii	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721986	second	macro	Caliciaceae	Caliciales	Lecanoromycetes	9.280002979	23.00134121	0	0	0	0	0	0	0	0	23.00134121	1259731694
Lecanora subimmergens	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721987	second	crust	Lecanoraceae	Lecanorales	Lecanoromycetes	12.48362933	14.33204225	0	0	0	0	0	0	0	0	14.33204225	1078541660
Chrysothrix xanthina	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721988	second	crust		Arthoniales	Arthoniomycetes	0	0	0	0	0	0	0	0	0	0	0	142846
Heterodermia granulifera	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721989	second	macro	Physciaceae	Caliciales	Lecanoromycetes	0	0	0	0	0	0	0	0	0	0	0	73084
Pyxine sorediata	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721990	second	macro	Caliciaceae	Caliciales	Lecanoromycetes	0	15.68312121	0	0	0	0	0	0	0	0	15.68312121	1674040360
Rinodina dolichospora	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721991	second	crust	Physciaceae	Caliciales	Lecanoromycetes	0	6.719814561	0	0	0	0	0	0	0	0	6.719814561	1081278384
Flavoparmelia baltimorensis	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721992	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	0	4.480730864	0	0	0	0	0	0	0	0	4.480730864	632782110
fungal sp. Lendemer_48835_NY-3720155	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721993	second	crust		0	Unknown	1.574310268	12.54570995	0	0	0	0	0	0	0	0	12.54570995	857871166
Bacidia sp. Lendemer_48883_NY-3033306	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721994	second	crust		Lecanorales	Lecanoromycetes	0	0	0	0	0	0	0	0	0	0	0	293341358
Lepra amara	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721995	second	crust		Pertusariales	Lecanoromycetes	1.324477274	11.89940989	0	0	0	0	0	0	0	0	11.89940989	1015010524
Hypogymnia vittata	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721996	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	18.306762877	10.57999289	0	0	0	0	0	0	0	0	10.57999289	1522805404
Parmotrema simulans	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721997	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	0	7.0693802	0	0	0	0	0	0	0	0	7.0693802	870103374
Lepraria normandinoides	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721998	second	crust	Stereocaulaceae	Lecanorales	Lecanoromycetes	8.004625747	3.714974478	0	0	0	0	0	0	0	0	3.714974478	1033038414
Ochrolechia trochophora	Lendemer et al. 2019	University of Colorado, Boulder	SRR14721999	second	crust		Pertusariales	Lecanoromycetes	5.975018091	23.28736717	0	0	0	0	0	0	0	0	23.28736717	1230744828
Parmotrema mellissii	Lendemer et al. 2019	University of Colorado, Boulder	SRR14722000	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	1.282481163	8.324009333	0	0	0	0	0	0	0	0	8.324009333	863435818
Bacidia sorediata	Lendemer et al. 2019	University of Colorado, Boulder	SRR14722001	second	crust	Ramalinaceae	Lecanorales	Lecanoromycetes	0	0	0	0	0	0	0	0	0	0	0	354521122
Hypotrachyna lividescens	Lendemer et al. 2019	University of Colorado, Boulder	SRR14722002	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	2.397728498	15.28661762	0	0	0	0	0	0	0	0	15.28661762	1027194714
Ramalina culbersoniorum	Lendemer et al. 2019	University of Colorado, Boulder	SRR14722003	second	macro	Ramalinaceae	Lecanorales	Lecanoromycetes	6.285432865	19.80400527	0	0	0	0	0	0	0	0	19.80400527	1111555394
Cetrelia chicitae	Lendemer et al. 2019	University of Colorado, Boulder	SRR14722004	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	0	10.01483695	0	0	0	0	0	0	0	0	10.01483695	815926084
Heterodermia neglecta	Lendemer et al. 2019	University of Colorado, Boulder	SRR14722005	second	macro	Physciaceae	Caliciales	Lecanoromycetes	0	10.68742757	0	0	0	0	0	0	0	0	10.68742757	1141070760
