metagenome	bacteria_other	mycobiont	fungi_other	photobiont_chloro	algae_other	photobiont_cyano	cephalodia_cyano	mycobiont_missassigned	cypho	tremella	total	Lichen.metagenomes	Source	Produced	Batch	architecture	family	order	class	depth
SRR13125477	5	1	0	1	0	0	0	0	0	0	7	Everniopsis trulla	Grewe et al 2020	Field Museum of Natural History	third	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	16137791400
SRR13125762	0	1	0	1	0	0	0	0	0	0	2	Usnea aurantiacoatra	Grewe et al 2020	Field Museum of Natural History	third	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	9146430147
SRR13125985	0	1	0	0	0	0	0	0	0	0	1	Xanthoparmelia arapilensis	Grewe et al 2020	Field Museum of Natural History	third	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	576727858
SRR13126647	0	1	0	0	0	0	0	0	0	0	1	Xanthoparmelia barbatica	Grewe et al 2020	Field Museum of Natural History	third	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	447209227
SRR13126796	3	1	0	0	0	0	0	0	0	0	4	Xanthoparmelia stenophylla	Grewe et al 2020	Field Museum of Natural History	third	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	787429291
SRR13126828	0	1	0	0	0	0	0	0	0	0	1	Xanthoparmelia tasmanica	Grewe et al 2020	Field Museum of Natural History	third	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	576977571
SRR13126859	3	1	0	0	0	0	0	0	0	0	4	Xanthoparmelia verrucella	Grewe et al 2020	Field Museum of Natural History	third	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	2876909202
SRR13167197	1	1	0	0	0	0	0	0	0	0	2	Xanthoparmelia aff chlorochroa	Grewe et al 2020	Field Museum of Natural History	third	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	761732733
SRR13685140	0	1	0	0	0	0	0	0	0	0	1	Arthonia susa	Lendemer et al. 2019	University of Colorado, Boulder	first	crust		Arthoniales	Arthoniomycetes	1409896362
SRR13685142	1	0	0	0	0	0	0	0	0	0	1	Opegrapha vulgata	Lendemer et al. 2019	University of Colorado, Boulder	first	crust		Arthoniales	Arthoniomycetes	433080986
SRR13685153	1	0	0	0	0	0	0	0	0	0	1	Lecanora cinereofusca	Lendemer et al. 2019	University of Colorado, Boulder	first	crust	Lecanoraceae	Lecanorales	Lecanoromycetes	700670804
SRR13685154	0	1	0	0	0	0	0	0	0	0	1	Gomphillus americanus	Lendemer et al. 2019	University of Colorado, Boulder	first	crust		Gyalectales	Lecanoromycetes	585379284
SRR13685157	0	1	0	0	0	0	0	0	0	0	1	Phyllopsora corallina	Lendemer et al. 2019	University of Colorado, Boulder	first	crust	Ramalinaceae	Lecanorales	Lecanoromycetes	595991866
SRR13685158	0	1	0	0	0	0	0	0	0	0	1	Phlyctis boliviensis	Lendemer et al. 2019	University of Colorado, Boulder	first	crust		Gyalectales	Lecanoromycetes	722120656
SRR13685159	0	0	0	1	0	0	0	0	0	0	1	Icmadophila ericetorum	Lendemer et al. 2019	University of Colorado, Boulder	first	crust		Pertusariales	Lecanoromycetes	567138182
SRR13685161	0	1	0	0	0	0	0	0	0	0	1	Heterodermia casarettiana	Lendemer et al. 2019	University of Colorado, Boulder	first	macro	Physciaceae	Caliciales	Lecanoromycetes	628949730
SRR13685162	2	1	0	0	0	0	0	0	0	0	3	Usnea subfusca	Lendemer et al. 2019	University of Colorado, Boulder	first	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	579616520
SRR13685164	2	1	0	0	0	0	0	0	0	0	3	Usnea ceratina	Lendemer et al. 2019	University of Colorado, Boulder	first	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	798545984
SRR13685165	2	1	0	0	0	0	0	0	0	0	3	Usnea cornuta	Lendemer et al. 2019	University of Colorado, Boulder	first	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	728229512
SRR14721922	0	1	0	0	0	0	0	0	0	0	1	Heterodermia albicans	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Physciaceae	Caliciales	Lecanoromycetes	1722459416
SRR14721923	0	1	0	0	0	0	0	0	0	0	1	Acanthothecis fontana	Lendemer et al. 2019	University of Colorado, Boulder	second	crust	Graphidaceae Dumort.	Gyalectales	Lecanoromycetes	1351992392
SRR14721925	2	1	0	0	0	0	0	0	0	0	3	Heterodermia speciosa	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Physciaceae	Caliciales	Lecanoromycetes	1626183024
SRR14721926	0	1	0	0	0	0	0	0	0	0	1	Buellia mamillana	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Caliciales	Lecanoromycetes	1588561676
SRR14721927	0	1	0	0	0	0	0	0	0	0	1	Crespoa crozalsiana	Lendemer et al. 2019	University of Colorado, Boulder	second	crust	Parmeliaceae	Lecanorales	Lecanoromycetes	1605062352
SRR14721928	0	0	0	0	0	1	0	0	0	0	1	Leptogium hirsutum	Lendemer et al. 2019	University of Colorado, Boulder	second	macro		Peltigerales	Lecanoromycetes	1373385468
SRR14721929	2	1	1	0	0	0	0	0	0	0	4	Buellia stillingiana	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Caliciales	Lecanoromycetes	4463683518
SRR14721930	1	0	0	0	0	0	0	0	0	0	1	Leptogium corticola	Lendemer et al. 2019	University of Colorado, Boulder	second	macro		Peltigerales	Lecanoromycetes	1525000944
SRR14721931	0	1	0	0	0	0	0	0	0	0	1	Phaeophyscia rubropulchra	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Physciaceae	Caliciales	Lecanoromycetes	1559618298
SRR14721932	1	1	0	0	0	0	0	0	0	0	2	Thelotrema subtile	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Gyalectales	Lecanoromycetes	1337832518
SRR14721933	1	1	0	0	0	0	0	0	0	0	2	Bathelium carolinianum	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Strigulales	Dothideomycetes	1623848866
SRR14721935	0	1	0	0	0	0	0	0	0	0	1	Parmotrema submarginale	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	1234573282
SRR14721936	1	1	0	0	0	0	0	0	0	0	2	Cladonia peziziformis	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Cladoniaceae	Lecanorales	Lecanoromycetes	794350298
SRR14721937	3	1	0	0	0	0	0	0	0	0	4	Dermatocarpon luridum	Lendemer et al. 2019	University of Colorado, Boulder	second	macro		Verrucariales	Eurotiomycetes	1786893834
SRR14721938	3	0	0	0	0	0	0	0	0	0	3	Anaptychia palmatula	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Physciaceae	Caliciales	Lecanoromycetes	1606387226
SRR14721939	1	1	0	0	0	0	0	0	0	0	2	Cladonia polycarpoides	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Cladoniaceae	Lecanorales	Lecanoromycetes	991726022
SRR14721941	3	1	0	0	0	0	0	0	0	0	4	Porpidia subsimplex	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Lecideales	Lecanoromycetes	1286751030
SRR14721942	1	1	0	0	0	0	0	0	0	0	2	Bulbothrix scortella	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	1576656232
SRR14721943	0	1	0	0	0	0	0	0	0	0	1	Parmotrema neotropicum	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	1393932642
SRR14721944	5	1	0	0	0	0	0	0	0	0	6	Pyrrhospora varians	Lendemer et al. 2019	University of Colorado, Boulder	second	crust	Lecanoraceae	Lecanorales	Lecanoromycetes	1492914048
SRR14721945	1	1	0	0	0	0	0	0	0	0	2	Trapelia placodioides	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Baeomycetales	Lecanoromycetes	1650596100
SRR14721946	0	1	1	0	0	0	0	0	0	0	2	Thelotrema defectum	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Gyalectales	Lecanoromycetes	1392508410
SRR14721947	2	1	0	0	0	0	0	0	0	0	3	Usnea mutabilis	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	1998564728
SRR14721948	1	1	0	0	0	0	0	0	0	0	2	Porpidia albocaerulescens	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Lecideales	Lecanoromycetes	1358620084
SRR14721949	1	1	0	0	0	0	0	0	0	0	2	Buellia spuria	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Caliciales	Lecanoromycetes	1630314384
SRR14721950	4	1	0	0	0	0	0	0	0	0	5	Pseudosagedia chlorotica	Lendemer et al. 2019	University of Colorado, Boulder	second	macro		Gyalectales	Lecanoromycetes	1680403802
SRR14721952	1	1	0	0	0	0	0	0	0	0	2	Cladonia ochrochlora	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Cladoniaceae	Lecanorales	Lecanoromycetes	1650217694
SRR14721953	1	1	0	0	0	1	0	0	0	0	3	Pannaria tavaresii	Lendemer et al. 2019	University of Colorado, Boulder	second	macro		Peltigerales	Lecanoromycetes	1713412100
SRR14721954	3	1	0	0	0	1	0	0	0	0	5	Collema furfuraceum	Lendemer et al. 2019	University of Colorado, Boulder	second	macro		Peltigerales	Lecanoromycetes	2031774158
SRR14721955	4	1	1	0	0	0	0	0	0	0	6	Halecania pepegospora	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Leprocaulales	Lecanoromycetes	1448166708
SRR14721956	2	1	0	0	0	0	0	0	0	0	3	Parmotrema ultralucens	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	2428900534
SRR14721957	3	1	0	0	0	1	0	0	0	0	5	Ephebe solida	Lendemer et al. 2019	University of Colorado, Boulder	second	macro		Lichinales	Lichinomycetes	1959059806
SRR14721959	0	1	0	0	0	0	0	0	0	0	1	Ionaspis lacustris	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Baeomycetales	Lecanoromycetes	1316976096
SRR14721960	3	1	0	0	0	0	0	0	0	0	4	Phyllopsora corallina	Lendemer et al. 2019	University of Colorado, Boulder	second	crust	Ramalinaceae	Lecanorales	Lecanoromycetes	2429449570
SRR14721961	0	1	0	0	0	0	0	0	0	0	1	Dermatocarpon muhlenbergii	Lendemer et al. 2019	University of Colorado, Boulder	second	macro		Verrucariales	Eurotiomycetes	2500335916
SRR14721962	3	1	0	1	0	0	0	0	0	0	5	Ramalina petrina	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Ramalinaceae	Lecanorales	Lecanoromycetes	1438330870
SRR14721964	3	1	0	0	0	0	0	0	0	0	4	Phyllopsora parvifolia	Lendemer et al. 2019	University of Colorado, Boulder	second	crust	Ramalinaceae	Lecanorales	Lecanoromycetes	1611903860
SRR14721965	1	1	0	0	0	0	0	0	0	0	2	Cladonia petrophila	Lendemer et al. 2019	University of Colorado, Boulder	second	crust	Cladoniaceae	Lecanorales	Lecanoromycetes	1614020880
SRR14721966	4	1	0	0	0	0	0	0	0	0	5	Opegrapha moroziana	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Arthoniales	Arthoniomycetes	2128997320
SRR14721968	0	1	0	0	0	0	0	0	0	0	1	Botryolepraria lesdainii	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Verrucariales	Eurotiomycetes	1667041510
SRR14721970	0	1	0	0	0	0	0	0	0	0	1	Leucodecton sp. Tripp_6156_NY-2796959	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Gyalectales	Lecanoromycetes	1231440938
SRR14721971	0	1	0	0	0	0	0	0	0	0	1	Porina heterospora	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Gyalectales	Lecanoromycetes	658905110
SRR14721972	0	0	0	0	0	1	0	0	0	0	1	Sticta carolinensis	Lendemer et al. 2019	University of Colorado, Boulder	second	macro		Peltigerales	Lecanoromycetes	721821072
SRR14721973	0	1	0	0	0	0	0	0	0	0	1	Fissurina insidiosa	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Gyalectales	Lecanoromycetes	586278942
SRR14721974	2	1	0	0	0	0	0	0	0	0	3	Hypotrachyna catawbiensis	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	1756628904
SRR14721975	0	0	0	0	0	1	0	0	0	0	1	Leptogium cyanescens	Lendemer et al. 2019	University of Colorado, Boulder	second	macro		Peltigerales	Lecanoromycetes	168207054
SRR14721977	0	1	0	0	0	0	0	0	0	0	1	Pseudosagedia cestrensis	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Gyalectales	Lecanoromycetes	610283110
SRR14721978	0	1	0	0	0	0	0	0	0	0	1	Arthonia rubella	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Arthoniales	Arthoniomycetes	1229069030
SRR14721979	0	1	0	0	0	0	0	0	0	0	1	Parmotrema tinctorum	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	1295686606
SRR14721980	2	1	0	0	0	0	0	0	0	0	3	Aspicilia laevata	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Pertusariales	Lecanoromycetes	1289181526
SRR14721982	0	1	0	0	0	0	0	0	0	0	1	fungal sp. Lendemer_49042_NY-3033146	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		NA	Unknown	1195195804
SRR14721983	0	1	0	0	0	0	0	0	0	0	1	Gyalecta farlowii	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Gyalectales	Lecanoromycetes	1179233292
SRR14721984	0	1	0	0	0	0	0	0	0	0	1	Pertusaria plittiana	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Pertusariales	Lecanoromycetes	923492444
SRR14721985	4	1	0	0	0	0	0	0	0	0	5	Imshaugia aleurites	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	1273065296
SRR14721986	1	1	0	0	0	0	0	0	0	0	2	Dirinaria frostii	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Caliciaceae	Caliciales	Lecanoromycetes	1259731694
SRR14721987	1	1	0	0	0	0	0	0	0	0	2	Lecanora subimmergens	Lendemer et al. 2019	University of Colorado, Boulder	second	crust	Lecanoraceae	Lecanorales	Lecanoromycetes	1078541660
SRR14721990	0	1	0	0	0	0	0	0	0	0	1	Pyxine sorediata	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Caliciaceae	Caliciales	Lecanoromycetes	1674040360
SRR14721991	0	1	0	0	0	0	0	0	0	0	1	Rinodina dolichospora	Lendemer et al. 2019	University of Colorado, Boulder	second	crust	Physciaceae	Caliciales	Lecanoromycetes	1081278384
SRR14721992	0	1	0	0	0	0	0	0	0	0	1	Flavoparmelia baltimorensis	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	632782110
SRR14721993	1	1	0	0	0	0	0	0	0	0	2	fungal sp. Lendemer_48835_NY-3720155	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		NA	Unknown	857871166
SRR14721995	1	1	0	0	0	0	0	0	0	0	2	Lepra amara	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Pertusariales	Lecanoromycetes	1015010524
SRR14721996	6	1	0	0	0	0	0	0	0	0	7	Hypogymnia vittata	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	1522805404
SRR14721997	0	1	0	0	0	0	0	0	0	0	1	Parmotrema simulans	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	870103374
SRR14721998	2	1	0	0	0	0	0	0	0	0	3	Lepraria normandinoides	Lendemer et al. 2019	University of Colorado, Boulder	second	crust	Stereocaulaceae	Lecanorales	Lecanoromycetes	1033038414
SRR14721999	1	1	0	0	0	0	0	0	0	0	2	Ochrolechia trochophora	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Pertusariales	Lecanoromycetes	1230744828
SRR14722000	1	1	0	0	0	0	0	0	0	0	2	Parmotrema mellissii	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	863435818
SRR14722002	1	1	0	0	0	0	0	0	0	0	2	Hypotrachyna lividescens	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	1027194714
SRR14722003	2	1	0	0	0	0	0	0	0	0	3	Ramalina culbersoniorum	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Ramalinaceae	Lecanorales	Lecanoromycetes	1111555394
SRR14722004	0	1	0	0	0	0	0	0	0	0	1	Cetrelia chicitae	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	815926084
SRR14722005	0	1	0	0	0	0	0	0	0	0	1	Heterodermia neglecta	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Physciaceae	Caliciales	Lecanoromycetes	1141070760
SRR14722006	1	1	0	0	0	0	0	0	0	0	2	Cetrelia olivetorum	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	1036372796
SRR14722007	8	1	0	0	0	0	0	0	0	0	9	Platismatia glauca	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	1593583936
SRR14722008	2	0	0	0	0	1	0	0	0	0	3	Sticta fragilinata	Lendemer et al. 2019	University of Colorado, Boulder	second	macro		Peltigerales	Lecanoromycetes	1001142684
SRR14722009	0	1	0	0	0	0	0	0	0	0	1	Cladonia apodocarpa	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Cladoniaceae	Lecanorales	Lecanoromycetes	1419216082
SRR14722010	1	1	0	0	0	0	0	0	0	0	2	Pertusaria propinqua	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Pertusariales	Lecanoromycetes	834885342
SRR14722012	0	1	0	0	0	0	0	0	0	0	1	Stictis urceolatum	Lendemer et al. 2019	University of Colorado, Boulder	second	crust		Ostropales	Lecanoromycetes	1025757496
SRR14722013	3	1	0	0	0	0	0	0	0	0	4	Biatora pontica	Lendemer et al. 2019	University of Colorado, Boulder	second	crust	Ramalinaceae	Lecanorales	Lecanoromycetes	1537520354
SRR14722014	0	1	0	0	0	0	0	0	0	0	1	Hypotrachyna minarum	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	1532844488
SRR14722015	0	1	0	0	0	1	0	0	0	0	2	Leptogium corticola	Lendemer et al. 2019	University of Colorado, Boulder	second	macro		Peltigerales	Lecanoromycetes	1157540028
SRR14722016	0	1	0	0	0	0	0	0	0	0	1	Umbilicaria mammulata	Lendemer et al. 2019	University of Colorado, Boulder	second	macro		Umbilicariales	Lecanoromycetes	784227560
SRR14722017	0	1	0	0	0	0	0	0	0	0	1	Heterodermia squamulosa	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Physciaceae	Caliciales	Lecanoromycetes	1480952130
SRR14722018	0	1	0	0	0	0	0	0	0	0	1	Lepraria oxybapha	Lendemer et al. 2019	University of Colorado, Boulder	second	crust	Stereocaulaceae	Lecanorales	Lecanoromycetes	975842634
SRR14722019	0	1	0	0	0	1	0	0	0	0	2	Dendriscocaulon intricatulum	Lendemer et al. 2019	University of Colorado, Boulder	second	macro		Peltigerales	Lecanoromycetes	1331060772
SRR14722020	0	1	0	0	0	0	0	0	0	0	1	Parmotrema crinitum	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	1006688612
SRR14722021	2	1	0	0	0	0	0	0	0	0	3	Parmotrema perlatum	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	1107319844
SRR14722022	1	1	0	0	0	0	0	0	0	0	2	Usnea subgracilis	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	1123401344
SRR14722023	0	1	0	0	0	0	0	0	0	0	1	Usnea ceratina	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	1390022346
SRR14722024	0	1	0	0	0	0	0	0	0	0	1	Dermiscellum oulocheilum	Lendemer et al. 2019	University of Colorado, Boulder	second	crust	Caliciaceae	Caliciales	Lecanoromycetes	1603596142
SRR14722026	5	1	0	0	0	0	0	0	0	0	6	Tuckermannopsis ciliaris	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	1376535630
SRR14722028	0	1	0	0	0	0	0	0	0	0	1	Parmotrema reticulatum	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	754572972
SRR14722030	0	1	0	0	0	0	0	0	0	0	1	Parmelia squarrosa	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	248125314
SRR14722031	1	1	0	0	0	0	0	0	0	0	2	Ramalina americana	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Ramalinaceae	Lecanorales	Lecanoromycetes	1112283516
SRR14722032	0	0	0	0	0	0	0	1	0	0	1	Platismatia tuckermanii	Lendemer et al. 2019	University of Colorado, Boulder	second	macro	Parmeliaceae	Lecanorales	Lecanoromycetes	1560774958
SRR14722033	0	0	0	0	0	0	0	1	0	0	1	Lecanora pseudistera	Lendemer et al. 2019	University of Colorado, Boulder	second	crust	Lecanoraceae	Lecanorales	Lecanoromycetes	1757553628
