bin,median_cov
cov_private_VT2_concoct_bin.17.fa,130.0
cov_private_VT2_metawrap_bin.1.fa,11.0
cov_private_VT2_metawrap_bin.2.fa,49.0
cov_private_VT2_metawrap_bin.3.fa,9.0
cov_private_VT2_metawrap_bin.4.fa,6.0
cov_private_VT2_metawrap_bin.5.fa,20.0
cov_private_VT2_metawrap_bin.6.fa,7.0
cov_private_VT31_metabat2_bin.4.fa,78.0
cov_private_VT33_concoct_bin.0.fa,96.0
cov_private_VT33_metawrap_bin.1.fa,4.0
cov_private_VT34_metabat2_bin.11.fa,58.0
cov_private_VT34_metawrap_bin.1.fa,6.0
cov_private_VT34_metawrap_bin.2.fa,24.0
cov_private_VT34_metawrap_bin.3.fa,64.0
cov_private_VT34_metawrap_bin.4.fa,16.0
cov_private_VT38_concoct_bin.3.fa,57.0
cov_private_VT38_concoct_bin.4.fa,8.0
cov_private_VT38_metawrap_bin.1.fa,6.0
cov_private_X10_concoct_bin.0.fa,118.0
cov_private_X10_concoct_bin.7.fa,12.0
cov_private_X11_concoct_bin.15.fa,8.0
cov_private_X11_metabat2_bin.10.fa,145.0
cov_private_X11_metawrap_bin.1.fa,45.0
cov_private_X11_metawrap_bin.2.fa,21.0
cov_private_X11_metawrap_bin.3.fa,25.0
cov_private_X11_metawrap_bin.4.fa,6.0
cov_private_X12_concoct_bin.4.fa,149.0
cov_private_X12_metawrap_bin.1.fa,4.0
cov_private_X13_concoct_bin.5.fa,409.0
cov_private_X14_concoct_bin.2.fa,166.0
cov_private_X15_concoct_bin.2.fa,310.0
cov_private_X15_metawrap_bin.1.fa,6.0
cov_private_X15_metawrap_bin.2.fa,14.0
cov_private_X16_concoct_bin.2.fa,64.0
cov_private_X16_metawrap_bin.10.fa,11.0
cov_private_X16_metawrap_bin.11.fa,4.0
cov_private_X16_metawrap_bin.12.fa,4.0
cov_private_X16_metawrap_bin.13.fa,10.0
cov_private_X16_metawrap_bin.14.fa,11.0
