genome,cluster,score
public_SRR14722231_metabat2_bin.5.fa,90_2,95.98214981965418
public_SRR14722163_concoct_bin.11.fa,91_0,86.81596713816633
public_SRR14722080_concoct_merged.0.fa,92_0,72.08028314324504
public_SRR14722154_metabat2_bin.3.fa,93_0,93.72073804513752
public_SRR14722165_metabat2_bin.16.fa,94_0,66.76523121638076
public_SRR14722251_metabat2_bin.1.fa,95_1,85.20560718260884
public_SRR14722042_metabat2_bin.6.fa,96_0,88.34597589435363
public_SRR14722184_concoct_bin.5.fa,97_1,86.5008230390007
public_SRR14722232_concoct_bin.14.fa,97_2,91.74901221276654
public_SRR14722274_metabat2_bin.2.fa,98_1,95.34117288896965
public_SRR14722158_metabat2_bin.9.fa,99_0,95.98988876224439
public_SRR14722095_metabat2_bin.7.fa,100_1,83.76630850037314
public_SRR2387885_metabat2_bin.15.fa,100_2,88.81146731469008
private_T1881_metabat2_bin.5.fa,100_3,98.42414511521746
public_SRR14722202_metabat2_bin.2.fa,100_4,90.62709270473103
public_SRR14722058_metabat2_bin.4.fa,100_5,84.01663001540128
private_X16_concoct_bin.2.fa,100_6,98.96919551740537
public_SRR14721950_metabat2_bin.6.fa,101_0,92.17303727693779
public_SRR14721977_metabat2_bin.1.fa,102_0,56.970358539141195
public_SRR14722125_metabat2_bin.9.fa,103_0,89.52581760354394
public_SRR14722213_concoct_bin.9.fa,104_0,81.2856543730004
private_T1894_metabat2_bin.4.fa,105_0,98.27479503565011
public_SRR1531569_concoct_bin.26.fa,106_0,96.7488955469853
public_SRR14722301_metabat2_bin.5.fa,107_1,94.61024036242405
public_SRR14722121_metabat2_bin.4.fa,107_2,86.02692721002987
public_SRR14722080_metabat2_bin.1.fa,107_3,85.75546701914219
public_SRR14722103_metabat2_bin.2.fa,107_4,91.46567249154106
public_SRR14722084_metabat2_bin.3.fa,107_5,92.78748519519047
public_SRR14722299_metabat2_bin.9.fa,107_6,92.9719095459827
public_SRR14722101_metabat2_bin.2.fa,107_7,90.24077231851359
public_SRR14722292_metabat2_bin.5.fa,107_8,95.87335196843699
public_SRR14722293_concoct_bin.15.fa,107_9,95.26180466820173
public_SRR14722088_concoct_bin.14.fa,107_10,96.2506372592251
public_SRR14722150_concoct_bin.35.fa,107_11,95.62953996993443
public_SRR14722294_metabat2_bin.7.fa,107_12,95.59735584757013
public_SRR14722319_metabat2_bin.1.fa,107_13,93.16513802303119
public_SRR14721965_metabat2_bin.1.fa,107_14,92.72599030231655
public_SRR14721936_concoct_merged.0.fa,107_15,70.87184461817367
public_SRR14721952_concoct_merged.0.fa,107_16,87.54081475423756
public_SRR14722099_metabat2_bin.1.fa,107_17,85.26049884621175
public_SRR14722119_metabat2_bin.2.fa,107_18,88.72497186784247
public_SRR14722290_metabat2_bin.4.fa,107_19,91.42512863469726
public_SRR14722117_metabat2_bin.4.fa,107_20,95.03775709188425
public_SRR14721939_concoct_merged.0.fa,107_21,80.25039289516387
public_SRR14722066_metabat2_bin.7.fa,108_0,85.26883305195491
public_SRR14722167_metabat2_bin.4.fa,109_0,94.44123369606554
public_SRR14722018_metabat2_bin.2.fa,110_1,57.23949407967184
public_SRR14722272_metabat2_bin.6.fa,110_2,93.20164795356203
public_SRR14722041_metabat2_bin.10.fa,110_3,89.93690198449707
public_SRR14722304_metabat2_bin.6.fa,111_1,93.50101169025362
private_T1904_metabat2_bin.21.fa,112_0,96.55437504835197
public_SRR14721987_metabat2_bin.1.fa,113_0,90.2689477273198
public_SRR11456923_metabat2_merged.0.fa,114_1,93.72561757265868
public_SRR11456915_metabat2_merged.0.fa,114_2,81.14633087763889
public_SRR11456921_metabat2_merged.0.fa,114_3,95.37034071632117
public_SRR11456914_concoct_merged.0.fa,114_4,96.49565354762211
public_SRR11456917_metabat2_merged.0.fa,114_5,98.21513186351469
public_SRR11456918_metabat2_merged.0.fa,114_6,96.81582246953863
public_SRR11456919_metabat2_bin.15.fa,115_0,93.15152095482553
public_SRR14722210_metabat2_bin.3.fa,116_0,92.93374306903827
public_SRR14722078_concoct_bin.17.fa,117_0,98.32688240936304
public_SRR14722229_concoct_bin.24.fa,118_0,97.19678388651961
private_X2_concoct_bin.0.fa,119_1,97.76953739915204
public_SRR13685162_metabat2_bin.2.fa,119_2,91.29238645653982
public_SRR14722034_metabat2_bin.1.fa,119_3,95.1296718593447
public_SRR13125762_concoct_bin.37.fa,119_4,92.4821821023105
public_SRR14721947_metabat2_bin.6.fa,119_5,95.17098231162996
public_SRR14722094_metabat2_bin.10.fa,119_6,92.06954542621085
public_SRR13685165_metabat2_bin.3.fa,119_7,92.85086594738357
public_SRR14722120_metabat2_bin.1.fa,119_8,95.1672982711285
public_SRR14722022_concoct_bin.14.fa,119_9,95.88498364917562
public_SRR14722115_concoct_bin.3.fa,119_10,95.56432488509068
public_SRR13685164_concoct_bin.7.fa,119_11,90.63446952122827
public_SRR14722023_metabat2_bin.5.fa,119_12,93.2366658903533
public_SRR14722116_metabat2_bin.14.fa,119_13,96.3139939085795
public_SRR14722063_concoct_bin.10.fa,120_1,90.57738886598578
public_SRR14722208_metabat2_bin.1.fa,120_2,93.9953068516887
public_SRR14722173_concoct_merged.0.fa,121_0,95.0985662380045
private_X14_concoct_bin.2.fa,122_1,97.56549889367535
public_SRR14721996_metabat2_bin.8.fa,122_2,94.05640483270864
public_SRR14722129_metabat2_bin.3.fa,122_3,97.68221521225608
public_SRR5808932_concoct_bin.35.fa,122_4,98.33245946682001
public_SRR7232211_concoct_bin.3.fa,122_5,99.95965355372617
private_VT38_concoct_bin.3.fa,122_6,87.60512547586939
private_X9_concoct_bin.20.fa,122_7,95.70073329836832
public_SRR5808930_metabat2_bin.9.fa,122_8,100.65479184662543
public_SRR14722026_metabat2_bin.4.fa,122_9,96.1447968991064
private_VT15_metabat2_bin.1.fa,122_10,99.03611676055736
public_SRR14722124_metabat2_bin.8.fa,122_11,92.24026666134675
private_VT12_concoct_bin.10.fa,122_12,99.41703222645717
private_VT2_concoct_bin.17.fa,122_13,95.69234864943523
private_VT33_concoct_bin.0.fa,122_14,94.55248206835914
private_TS1974_concoct_bin.10.fa,122_15,101.55321325133274
private_X3_concoct_bin.10.fa,122_16,98.5848405307956
public_SRR14722140_metabat2_bin.5.fa,122_17,92.13958261091517
private_VT31_metabat2_bin.4.fa,122_18,98.54898386844238
public_SRR14722118_metabat2_bin.5.fa,122_19,92.90134523702619
private_X1_concoct_bin.13.fa,122_20,101.06428845399431
private_VT19_concoct_bin.7.fa,122_21,92.72053767566547
private_X12_concoct_bin.4.fa,122_22,86.1801977856669
private_GTX0161_concoct_merged.0.fa,122_23,87.92667568381634
private_VT22_concoct_bin.7.fa,122_24,89.93770047775693
private_X10_concoct_bin.0.fa,122_25,83.80955668173874
public_SRR13125477_concoct_bin.14.fa,122_26,99.46734803422956
public_SRR14722132_metabat2_bin.8.fa,122_27,87.920895819592
public_SRR14722219_metabat2_bin.6.fa,123_1,94.21312028312754
public_SRR14722002_metabat2_bin.2.fa,123_2,93.58813779379027
public_SRR14722302_concoct_merged.0.fa,123_3,90.18485675239647
public_SRR14721974_metabat2_bin.1.fa,123_4,91.65239705519434
public_SRR14722021_metabat2_bin.1.fa,124_1,90.73978107648699
public_SRR14722325_metabat2_bin.1.fa,124_2,89.04613218039415
public_SRR14722289_concoct_bin.0.fa,124_3,95.0270121559203
public_SRR14721979_metabat2_bin.1.fa,124_4,90.20901530629517
public_SRR14722310_metabat2_bin.3.fa,124_5,92.85419334383342
public_SRR14722000_concoct_merged.0.fa,124_6,87.13929566341002
public_SRR14722151_metabat2_bin.3.fa,124_7,91.27952174980159
public_SRR14722028_metabat2_bin.1.fa,124_8,91.11044636814579
public_SRR14722139_metabat2_bin.5.fa,124_9,95.7041932375812
public_SRR14721943_metabat2_bin.1.fa,124_10,95.71208570434524
public_SRR14721956_metabat2_bin.3.fa,124_11,89.39051191101579
public_SRR14722174_metabat2_bin.2.fa,124_12,92.08752219762921
public_SRR14722166_concoct_bin.2.fa,124_13,92.16260042263819
public_SRR14722168_metabat2_bin.6.fa,124_14,93.2678716413188
public_SRR14722130_metabat2_bin.9.fa,124_15,86.88545340682718
public_SRR14721935_metabat2_bin.5.fa,124_16,90.55728881350007
private_VT16_concoct_bin.11.fa,124_17,98.73695727387404
public_SRR14722169_metabat2_bin.6.fa,124_18,94.36020425004479
public_SRR14722038_metabat2_bin.1.fa,124_19,95.16513418331621
public_SRR12240178_metabat2_bin.6.fa,124_20,97.48351777549247
public_SRR13126828_metabat2_bin.1.fa,124_21,94.91019949448301
public_SRR13126859_metabat2_bin.7.fa,124_22,97.09494174466774
public_SRR14722106_metabat2_bin.2.fa,124_23,95.31932874666097
public_SRR14722004_metabat2_bin.1.fa,124_24,93.60128858046026
public_SRR14722006_metabat2_bin.2.fa,124_25,93.6039772154654
public_SRR14721927_metabat2_bin.2.fa,124_26,95.51235836370024
private_T1914_metabat2_bin.5.fa,125_0,97.32646835910158
public_SRR14722197_metabat2_bin.3.fa,126_1,89.54997287943718
public_SRR14722161_metabat2_bin.6.fa,126_2,95.4499883618163
public_SRR1531545_concoct_bin.10.fa,126_3,96.19093157334889
public_SRR14722145_metabat2_bin.10.fa,126_4,88.22605704245348
public_SRR14721954_metabat2_bin.3.fa,127_0,81.77255809751095
public_SRR14722288_metabat2_bin.3.fa,128_1,96.74395875885148
public_SRR1531517_concoct_bin.16.fa,128_2,100.42224237048801
public_SRR14722279_metabat2_bin.4.fa,129_0,96.70939874302302
public_SRR14721973_metabat2_bin.2.fa,130_0,77.36094773683392
public_SRR14721926_metabat2_bin.3.fa,131_0,93.39634534739032
public_SRR14721929_metabat2_bin.13.fa,132_0,94.53959230207592
public_SRR13685158_concoct_merged.0.fa,133_1,89.71836214714901
public_SRR14722037_metabat2_bin.2.fa,134_0,92.20009311895818
public_SRR14722280_metabat2_bin.4.fa,135_0,97.19920710740061
public_SRR14722281_metabat2_bin.1.fa,136_0,95.28507747248356
public_SRR14722222_metabat2_bin.6.fa,137_0,96.30001079518479
public_SRR14722312_concoct_bin.10.fa,138_0,93.65112159162466
public_SRR14722318_metabat2_bin.2.fa,139_0,93.97795875325504
public_SRR14721986_metabat2_bin.4.fa,140_1,91.72998723126524
public_SRR14721990_metabat2_bin.6.fa,140_2,94.83301013960228
public_SRR14722092_concoct_merged.0.fa,141_1,84.43273506649082
public_SRR14722181_concoct_bin.9.fa,141_2,91.41597885626712
public_SRR14722039_metabat2_bin.7.fa,141_3,88.40681310313647
public_SRR14722085_metabat2_bin.6.fa,142_1,92.81453031456246
public_SRR14721933_metabat2_bin.1.fa,143_0,97.50581052381366
