Genome	bac_family	bac_order	bac_phylum	hdbscan	kmeans	apcluster
public_SRR11456919_metawrap_bin.2	UBA10450	Chthoniobacterales	Verrucomicrobiota	8	5	7
public_SRR11456919_metawrap_bin.3	Beijerinckiaceae	Rhizobiales	Proteobacteria	4	12	2
public_SRR11456919_metawrap_bin.5	Nostocaceae	Cyanobacteriales	Cyanobacteria	2	1	9
public_SRR11456921_metawrap_bin.10	Acetobacteraceae	Acetobacterales	Proteobacteria	4	12	2
public_SRR11456921_metawrap_bin.11	Burkholderiaceae	Burkholderiales	Proteobacteria	4	13	10
public_SRR11456921_metawrap_bin.12	Spirosomaceae	Cytophagales	Bacteroidota	9	11	4
public_SRR11456921_metawrap_bin.14	Spirosomaceae	Cytophagales	Bacteroidota	9	11	4
public_SRR11456921_metawrap_bin.18	Rhizobiaceae	Rhizobiales	Proteobacteria	4	12	10
public_SRR11456921_metawrap_bin.19	Xanthobacteraceae	Rhizobiales	Proteobacteria	4	10	11
public_SRR11456921_metawrap_bin.2	Microbacteriaceae	Actinomycetales	Actinobacteriota	6	7	6
public_SRR11456921_metawrap_bin.20	Unknown	Chthoniobacterales	Verrucomicrobiota	0	5	7
public_SRR11456921_metawrap_bin.23	Microbacteriaceae	Actinomycetales	Actinobacteriota	6	7	6
public_SRR11456921_metawrap_bin.3	Nostocaceae	Cyanobacteriales	Cyanobacteria	2	1	9
public_SRR11456921_metawrap_bin.5	Pseudonocardiaceae	Mycobacteriales	Actinobacteriota	6	7	6
public_SRR11456921_metawrap_bin.6	Sphingomonadaceae	Sphingomonadales	Proteobacteria	4	13	8
public_SRR11456921_metawrap_bin.7	Spirosomaceae	Cytophagales	Bacteroidota	9	11	4
public_SRR11456921_metawrap_bin.8	Pyrinomonadaceae	Pyrinomonadales	Acidobacteriota	7	9	12
public_SRR11456921_metawrap_bin.9	Devosiaceae	Rhizobiales	Proteobacteria	4	13	8
public_SRR11456922_metawrap_bin.1	Burkholderiaceae	Burkholderiales	Proteobacteria	0	6	13
public_SRR11456922_metawrap_bin.2	Chamaesiphonaceae	Cyanobacteriales	Cyanobacteria	2	1	9
public_SRR11456922_metawrap_bin.4	Chamaesiphonaceae	Cyanobacteriales	Cyanobacteria	2	1	9
public_SRR11456922_metawrap_bin.6	Aestuariivirgaceae	Rhizobiales	Proteobacteria	4	13	10
